"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GRAU (000)",8636,8464,2174,874,820,774,1356,1101,790,575,172,31096
"De 12 a 14 años (001)",1003,1000,995,5,,,,,,,3,5
"De 15 a 19 años (002)",943,925,764,133,24,3,1,,,,18,194
"De 20 a 24 años (003)",705,663,164,269,169,49,12,,,,42,805
"De 25 a 29 años (004)",727,687,49,170,209,160,92,5,2,,40,1506
"De 30 a 34 años (005)",733,712,34,89,159,144,217,60,6,3,21,2259
"De 35 a 39 años (006)",692,682,15,39,74,109,238,146,51,10,10,3059
"De 40 a 44 años (007)",638,631,21,30,30,66,159,168,110,47,7,3524
"De 45 a 49 años (008)",570,565,14,26,30,48,117,147,121,62,5,3426
"De 50 y más años (009)",2625,2599,118,113,125,195,520,575,500,453,26,16318
"Sin nivel (010)",2698,2662,125,130,153,217,556,589,491,401,36,16038
"De 12 a 14 años (011)",5,5,4,1,,,,,,,,1
"De 15 a 19 años (012)",25,25,13,9,2,,1,,,,,17
"De 20 a 24 años (013)",56,53,5,14,19,11,4,,,,3,102
"De 25 a 29 años (014)",73,70,3,5,24,20,16,1,1,,3,199
"De 30 a 34 años (015)",108,105,6,6,10,15,47,18,2,1,3,426
"De 35 a 39 años (016)",170,167,4,3,5,12,63,51,24,5,3,916
"De 40 a 44 años (017)",187,185,5,7,2,12,39,47,50,23,2,1197
"De 45 a 49 años (018)",209,208,5,8,6,11,34,57,50,37,1,1415
"De 50 y más años (019)",1865,1844,80,77,85,136,352,415,364,335,21,11765
"Educacion Inicial (020)",16,16,4,2,1,3,,4,2,,,54
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",1,1,1,,,,,,,,,
"De 20 a 24 años (023)",4,4,2,2,,,,,,,,2
