"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia VIRU (000)",30346,3132,16506,8380,588,1353,387
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,21,,,,,
"Profes., científicos e intelectuales (002)",506,402,,91,10,3,
"Técnicos de nivel medio y trab. asimilados (003)",805,591,,175,33,6,
"Jefes y empleados de oficina (004)",558,554,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2529,549,29,1648,40,262,1
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4850,56,16,4320,454,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",3583,,3075,466,13,29,
"Obreros construc.,conf., papel, fab., instr. (008)",1975,268,912,759,20,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",14573,504,12013,698,11,961,386
"Otra (010)",21,21,,,,,
"Ocupación no especificada (011)",925,166,461,220,7,71,
"Hombres (012)",21646,2025,12131,6170,492,807,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",16,16,,,,,
"Profes., científicos e intelectuales (014)",244,185,,51,8,,
"Técnicos de nivel medio y trab. asimilados (015)",579,433,,118,24,4,
"Jefes y empleados de oficina (016)",354,352,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",976,294,8,583,14,77,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",4292,49,15,3814,410,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2296,,1860,405,10,21,
"Obreros construc.,conf., papel, fab., instr. (020)",1922,265,883,739,19,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",10408,309,9095,326,3,654,21
"Otra (022)",21,21,,,,,
"Ocupación no especificada (023)",538,101,270,132,4,31,
"Mujeres (024)",8700,1107,4375,2210,96,546,366
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,5,,,,,
"Profes., científicos e intelectuales (026)",262,217,,40,2,3,
"Técnicos de nivel medio y trab. asimilados (027)",226,158,,57,9,2,
"Jefes y empleados de oficina (028)",204,202,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1553,255,21,1065,26,185,1
"Agricult.trabaj. calif.agrop. y pesqueros (030)",558,7,1,506,44,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1287,,1215,61,3,8,
"Obreros construc.,conf., papel, fab., instr. (032)",53,3,29,20,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",4165,195,2918,372,8,307,365
"Ocupación no especificada (035)",387,65,191,88,3,40,
,,,,,,,
"URBANA (036)",23837,2805,13059,6400,350,898,325
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",17,17,,,,,
"Profes., científicos e intelectuales (038)",407,324,,74,7,2,
"Técnicos de nivel medio y trab. asimilados (039)",733,543,,155,29,6,
"Jefes y empleados de oficina (040)",516,512,,3,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2296,496,24,1489,38,248,1
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3108,56,13,2806,229,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",3374,,2914,421,12,27,
"Obreros construc.,conf., papel, fab., instr. (044)",1716,232,814,638,18,14,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",10928,470,8915,663,11,545,324
"Otra (046)",20,20,,,,,
"Ocupación no especificada (047)",722,135,379,151,6,51,
"Hombres (048)",16363,1837,9330,4427,277,476,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,13,,,,,
"Profes., científicos e intelectuales (050)",204,156,,42,6,,
"Técnicos de nivel medio y trab. asimilados (051)",532,401,,105,22,4,
"Jefes y empleados de oficina (052)",333,331,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",880,267,8,518,14,73,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2652,49,13,2383,203,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",2138,,1746,363,9,20,
"Obreros construc.,conf., papel, fab., instr. (056)",1677,230,792,624,17,14,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",7500,286,6554,305,3,336,16
"Otra (058)",20,20,,,,,
"Ocupación no especificada (059)",414,84,217,85,3,25,
"Mujeres (060)",7474,968,3729,1973,73,422,309
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",203,168,,32,1,2,
"Técnicos de nivel medio y trab. asimilados (063)",201,142,,50,7,2,
"Jefes y empleados de oficina (064)",183,181,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1416,229,16,971,24,175,1
"Agricult.trabaj. calif.agrop. y pesqueros (066)",456,7,,423,26,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",1236,,1168,58,3,7,
"Obreros construc.,conf., papel, fab., instr. (068)",39,2,22,14,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3428,184,2361,358,8,209,308
"Ocupación no especificada (071)",308,51,162,66,3,26,
,,,,,,,
"RURAL (072)",6509,327,3447,1980,238,455,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",99,78,,17,3,1,
"Técnicos de nivel medio y trab. asimilados (075)",72,48,,20,4,,
"Jefes y empleados de oficina (076)",42,42,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",233,53,5,159,2,14,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1742,,3,1514,225,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",209,,161,45,1,2,
"Obreros construc.,conf., papel, fab., instr. (080)",259,36,98,121,2,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",3645,34,3098,35,,416,62
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",203,31,82,69,1,20,
"Hombres (084)",5283,188,2801,1743,215,331,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",40,29,,9,2,,
"Técnicos de nivel medio y trab. asimilados (087)",47,32,,13,2,,
"Jefes y empleados de oficina (088)",21,21,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",96,27,,65,,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1640,,2,1431,207,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",158,,114,42,1,1,
"Obreros construc.,conf., papel, fab., instr. (092)",245,35,91,115,2,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2908,23,2541,21,,318,5
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",124,17,53,47,1,6,
"Mujeres (096)",1226,139,646,237,23,124,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",59,49,,8,1,1,
