"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARHUAZ (000)",12182,11682,63,2452,2464,1946,2719,1412,509,117,500,39803
"De 12 a 14 años (001)",12,3,1,1,1,,,,,,9,3
"De 15 a 19 años (002)",292,236,4,209,18,4,1,,,,56,261
"De 20 a 24 años (003)",1172,1019,7,681,273,41,16,1,,,153,1426
"De 25 a 29 años (004)",1372,1248,8,506,475,187,70,2,,,124,2319
"De 30 a 34 años (005)",1406,1362,2,332,491,301,209,26,,1,44,3285
"De 35 a 39 años (006)",1376,1344,6,170,380,344,356,75,13,,32,4093
"De 40 a 44 años (007)",1193,1179,5,117,230,269,386,128,36,8,14,4290
"De 45 a 49 años (008)",1036,1023,3,86,156,183,338,182,59,16,13,4302
"De 50 y más años (009)",4323,4268,27,350,440,617,1343,998,401,92,55,19824
"Conviviente (010)",2856,2740,24,1057,789,389,353,97,22,9,116,6223
"De 12 a 14 años (011)",6,2,1,1,,,,,,,4,1
"De 15 a 19 años (012)",201,155,3,134,17,1,,,,,46,171
"De 20 a 24 años (013)",681,645,5,436,175,23,5,1,,,36,882
"De 25 a 29 años (014)",653,634,3,255,264,77,33,2,,,19,1162
"De 30 a 34 años (015)",479,477,2,130,158,112,71,4,,,2,1105
"De 35 a 39 años (016)",315,311,2,38,89,86,80,14,2,,4,923
"De 40 a 44 años (017)",204,203,1,23,44,43,62,23,5,2,1,720
"De 45 a 49 años (018)",98,97,,11,16,13,37,16,2,2,1,384
"De 50 y más años (019)",219,216,7,29,26,34,65,37,13,5,3,875
"Separado(a) (020)",755,745,6,315,176,105,98,35,9,1,10,1723
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",35,31,1,30,,,,,,,4,30
