"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHANCHAMAYO (000)",56213,138848,128074,,3008,92.2,2.2
"De 12 a 14 años (001)",5973,62,57,,10,91.9,16.1
"De 15 a 19 años (002)",8502,1834,1796,476,97.9,26,
"De 20 a 24 años (003)",7147,7137,6972,779,97.7,10.9,
"De 25 a 29 años (004)",6647,12170,11856,709,97.4,5.8,
"De 30 a 34 años (005)",5663,14907,14422,489,96.7,3.3,
"De 35 a 39 años (006)",5503,18679,17854,381,95.6,2,
"De 40 a 44 años (007)",4625,18930,17822,142,94.1,0.8,
"De 45 a 49 años (008)",3557,16759,15596,22,93.1,0.1,
"De 50 y más años (009)",8596,48370,41699,,86.2,,
"PEA (010)",17954,46155,43076,754,93.3,1.6,
"De 12 a 14 años (011)",316,7,7,2,100,28.6,
"De 15 a 19 años (012)",1679,446,435,102,97.5,22.9,
"De 20 a 24 años (013)",2501,1899,1853,165,97.6,8.7,
"De 25 a 29 años (014)",2441,3608,3521,178,97.6,4.9,
"De 30 a 34 años (015)",2369,5224,5077,141,97.2,2.7,
"De 35 a 39 años (016)",2414,7168,6903,116,96.3,1.6,
"De 40 a 44 años (017)",2092,7555,7135,43,94.4,0.6,
"De 45 a 49 años (018)",1516,6447,6051,7,93.9,0.1,
"De 50 y más años (019)",2626,13801,12094,,87.6,,
"Ocupada (020)",17321,45180,42144,718,93.3,1.6,
"De 12 a 14 años (021)",297,7,7,2,100,28.6,
"De 15 a 19 años (022)",1561,422,411,94,97.4,22.3,
"De 20 a 24 años (023)",2320,1784,1743,152,97.7,8.5,
"De 25 a 29 años (024)",2334,3476,3391,170,97.6,4.9,
"De 30 a 34 años (025)",2317,5125,4979,137,97.2,2.7,
"De 35 a 39 años (026)",2362,7006,6746,113,96.3,1.6,
"De 40 a 44 años (027)",2050,7412,6996,43,94.4,0.6,
"De 45 a 49 años (028)",1491,6325,5935,7,93.8,0.1,
"De 50 y más años (029)",2589,13623,11936,,87.6,,
"Desocupada (030)",633,975,932,36,95.6,3.7,
"De 12 a 14 años (031)",19,,,,,,
"De 15 a 19 años (032)",118,24,24,8,100,33.3,
"De 20 a 24 años (033)",181,115,110,13,95.7,11.3,
"De 25 a 29 años (034)",107,132,130,8,98.5,6.1,
