"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",19776,58980,53028,,1281,89.9,2.2
"De 12 a 14 años (001)",2243,8,8,,3,100,37.5
"De 15 a 19 años (002)",2750,491,481,143,98,29.1,
"De 20 a 24 años (003)",2184,2234,2185,328,97.8,14.7,
"De 25 a 29 años (004)",1849,3751,3653,295,97.4,7.9,
"De 30 a 34 años (005)",1794,5183,5017,244,96.8,4.7,
"De 35 a 39 años (006)",1745,6880,6550,184,95.2,2.7,
"De 40 a 44 años (007)",1379,6370,6041,66,94.8,1,
"De 45 a 49 años (008)",1164,6043,5593,18,92.6,0.3,
"De 50 y más años (009)",4668,28020,23500,,83.9,,
"PEA (010)",2883,7213,6764,138,93.8,1.9,
"De 12 a 14 años (011)",43,1,1,,100,,
"De 15 a 19 años (012)",269,39,39,8,100,20.5,
"De 20 a 24 años (013)",406,246,242,25,98.4,10.2,
"De 25 a 29 años (014)",373,501,491,36,98,7.2,
"De 30 a 34 años (015)",379,689,677,29,98.3,4.2,
"De 35 a 39 años (016)",370,1065,1045,25,98.1,2.3,
"De 40 a 44 años (017)",289,1048,993,13,94.8,1.2,
"De 45 a 49 años (018)",238,989,939,2,94.9,0.2,
"De 50 y más años (019)",516,2635,2337,,88.7,,
"Ocupada (020)",2719,7055,6614,135,93.7,1.9,
"De 12 a 14 años (021)",38,1,1,,100,,
"De 15 a 19 años (022)",220,38,38,8,100,21.1,
"De 20 a 24 años (023)",364,230,226,24,98.3,10.4,
"De 25 a 29 años (024)",355,492,482,36,98,7.3,
"De 30 a 34 años (025)",365,664,652,28,98.2,4.2,
"De 35 a 39 años (026)",350,1022,1003,24,98.1,2.3,
"De 40 a 44 años (027)",284,1035,980,13,94.7,1.3,
"De 45 a 49 años (028)",236,982,932,2,94.9,0.2,
"De 50 y más años (029)",507,2591,2300,,88.8,,
"Desocupada (030)",164,158,150,3,94.9,1.9,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",49,1,1,,100,,
"De 20 a 24 años (033)",42,16,16,1,100,6.3,
"De 25 a 29 años (034)",18,9,9,,100,,
"De 30 a 34 años (035)",14,25,25,1,100,4,
"De 35 a 39 años (036)",20,43,42,1,97.7,2.3,
"De 40 a 44 años (037)",5,13,13,,100,,
