"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAHUAMANU (000)",3151,3054,839,523,475,361,444,215,96,101,97,7869
"De 12 a 14 años (001)",301,298,295,2,1,,,,,,3,4
"De 15 a 19 años (002)",424,409,312,83,14,,,,,,15,111
"De 20 a 24 años (003)",461,429,112,195,90,28,3,1,,,32,478
"De 25 a 29 años (004)",425,400,52,133,128,66,21,,,,25,675
"De 30 a 34 años (005)",357,350,28,58,102,76,70,14,1,1,7,900
"De 35 a 39 años (006)",323,316,13,27,67,70,114,20,4,1,7,1055
"De 40 a 44 años (007)",252,250,11,11,31,48,91,40,13,5,2,1030
"De 45 a 49 años (008)",173,169,5,4,14,27,58,36,17,8,4,836
"De 50 y más años (009)",435,433,11,10,28,46,87,104,61,86,2,2780
"Sin nivel (010)",252,250,10,6,17,29,60,54,32,42,2,1510
"De 15 a 19 años (012)",3,3,3,,,,,,,,,
"De 20 a 24 años (013)",4,4,1,,1,2,,,,,,8
"De 25 a 29 años (014)",9,8,2,,4,1,1,,,,1,15
"De 30 a 34 años (015)",24,24,1,1,1,12,6,3,,,,86
"De 35 a 39 años (016)",26,26,1,1,2,1,13,6,1,1,,128
"De 40 a 44 años (017)",25,25,,1,5,5,6,4,3,1,,115
"De 45 a 49 años (018)",18,18,1,1,,2,6,4,3,1,,97
"De 50 y más años (019)",143,142,1,2,4,6,28,37,25,39,1,1061
"Educacion Inicial (020)",2,2,,1,,,,1,,,,7
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 30 a 34 años (025)",1,1,,,,,,1,,,,6
"Primaria (030)",766,758,170,66,90,81,170,90,44,47,8,2733
"De 12 a 14 años (031)",134,133,131,2,,,,,,,1,2
"De 15 a 19 años (032)",37,37,21,12,4,,,,,,,20
