"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ABANCAY (000)",31552,2228,30,7545,10648,1440,2603,2227,4831
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",89,,,1,12,3,17,10,46
"Profes., científicos e intelectuales (002)",4713,,,,99,105,1011,173,3325
"Técnicos de nivel medio ytrab.asimilados (003)",1481,3,,26,146,214,519,374,199
"Jefes y empleados de oficina (004)",1476,,,6,291,111,236,319,513
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",4944,329,3,1120,2180,309,262,469,272
"Agricult.trabaj. calif.agrop. y pesquros (006)",4928,798,4,2334,1556,53,65,59,59
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1539,31,,266,799,117,128,119,79
"Obreros. construc., conf., papel, fab., instr (008)",2622,44,1,448,1511,156,145,236,81
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",8860,923,19,3155,3795,320,152,357,139
"Otra (010)",215,,,,51,23,41,52,48
"Ocupación no especificada (011)",685,100,3,189,208,29,27,59,70
"Hombres (012)",20119,1148,13,5204,7304,859,1409,1414,2768
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",69,,,,11,2,9,8,39
"Profes., científicos e intelectuales (014)",2482,,,,37,48,450,107,1840
"Técnicos de nivel medio ytrab.asimilados (015)",975,2,,12,94,159,320,257,131
"Jefes y empleados de oficina (016)",728,,,2,150,45,98,154,279
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1541,16,,201,774,119,93,214,124
"Agricult.trabaj. calif.agrop. y pesquros (018)",4464,608,4,2181,1455,49,56,53,58
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1292,13,,224,678,99,108,103,67
"Obreros. construc., conf., papel, fab., instr (020)",2554,41,1,435,1482,145,144,232,74
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",5461,446,7,2064,2440,156,77,197,74
"Otra (022)",208,,,,50,23,39,49,47
"Ocupación no especificada (023)",345,22,1,85,133,14,15,40,35
"Mujeres (024)",11433,1080,17,2341,3344,581,1194,813,2063
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",20,,,1,1,1,8,2,7
"Profes., científicos e intelectuales (026)",2231,,,,62,57,561,66,1485
"Técnicos de nivel medio ytrab.asimilados (027)",506,1,,14,52,55,199,117,68
"Jefes y empleados de oficina (028)",748,,,4,141,66,138,165,234
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",3403,313,3,919,1406,190,169,255,148
"Agricult.trabaj. calif.agrop. y pesquros (030)",464,190,,153,101,4,9,6,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",247,18,,42,121,18,20,16,12
"Obreros. construc., conf., papel, fab., instr (032)",68,3,,13,29,11,1,4,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",3399,477,12,1091,1355,164,75,160,65
"Otra (034)",7,,,,1,,2,3,1
"Ocupación no especificada (035)",340,78,2,104,75,15,12,19,35
,,,,,,,,,
"URBANA (036)",22085,761,17,3402,7441,1280,2426,2117,4641
