"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHINCHEROS (000)",47959,2638,6342,7657,5210,6338,6021,9531,4222
"Sin nivel (001)",10046,2638,455,39,58,209,644,3113,2890
"Educación inicial (002)",1634,,1488,84,13,25,24,,
"Primaria (003)",20660,,4399,5219,833,1877,2688,4463,1181
"Secundaria (004)",12561,,,2315,4151,3177,1666,1156,96
"Superior no univ. incompleto (005)",750,,,,114,368,155,106,7
"Superior no univ. completo (006)",895,,,,,285,344,250,16
"Superior univ. incompleto (007)",415,,,,41,184,95,89,6
"Superior univ. completo (008)",998,,,,,213,405,354,26
"Hombres (010)",23808,1328,3215,3891,2744,3008,2880,4731,2011
"Sin nivel (011)",3467,1328,237,22,27,63,128,709,953
"Educación inicial (012)",787,,724,42,6,9,6,,
"Primaria (013)",10722,,2254,2671,384,681,1144,2647,941
"Secundaria (014)",7062,,,1156,2263,1711,1037,823,72
"Superior no univ. incompleto (015)",421,,,,43,202,92,79,5
"Superior no univ. completo (016)",523,,,,,152,194,165,12
"Superior univ. incompleto (017)",234,,,,21,86,59,63,5
"Superior univ. completo (018)",592,,,,,104,220,245,23
"Mujeres (020)",24151,1310,3127,3766,2466,3330,3141,4800,2211
"Sin nivel (021)",6579,1310,218,17,31,146,516,2404,1937
"Educación inicial (022)",847,,764,42,7,16,18,,
"Primaria (023)",9938,,2145,2548,449,1196,1544,1816,240
"Secundaria (024)",5499,,,1159,1888,1466,629,333,24
"Superior no univ. incompleto (025)",329,,,,71,166,63,27,2
"Superior no univ. completo (026)",372,,,,,133,150,85,4
"Superior univ. incompleto (027)",181,,,,20,98,36,26,1
"Superior univ. completo (028)",406,,,,,109,185,109,3
,,,,,,,,,
"URBANA (030)",15523,849,2021,2406,1652,2056,2352,3112,1075
"Sin nivel (031)",2503,849,154,11,13,35,147,668,626
"Educación inicial (032)",477,,433,22,6,8,8,,
"Primaria (033)",5907,,1434,1482,145,387,748,1356,355
"Secundaria (034)",4527,,,891,1408,1000,682,493,53
"Superior no univ. incompleto (035)",402,,,,55,182,96,65,4
"Superior no univ. completo (036)",589,,,,,157,249,171,12
