"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAULI (000)",18796,10085,2233,3441,3037
"Agric., ganadería, caza y silvicultura (001)",1463,1292,72,48,51
"Pesca (002)",69,65,1,2,1
"Explotación de minas y canteras (003)",3876,1049,566,1159,1102
"Industrias manufactureras (004)",1587,608,137,628,214
"Suministro de electricidad, gas y agua (005)",100,11,1,77,11
"Construcción (006)",1619,660,266,328,365
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2894,2482,202,140,70
"Venta, mant.y rep. veh.autom y motoc. (008)",501,269,83,89,60
"Comercio al por mayor (009)",95,72,8,5,10
"Comercio al por menor (010)",2298,2141,111,46,
"Hoteles y restaurantes (011)",1140,885,192,59,4
"Trans., almac. y comunicaciones (012)",1738,1128,183,212,215
"Intermediación financiera (013)",49,11,10,26,2
"Activid.inmobil., empres. y alquileres (014)",1194,483,244,295,172
"Admin.pub. y defensa; p. segur soc.afil (015)",459,,,,459
"Enseñanza (016)",709,127,185,289,108
"Servicios sociales y de salud (017)",252,65,13,11,163
"Otras activ. serv.comun.soc y personales (018)",701,593,57,37,14
"Hogares privados con servicio doméstico (019)",183,183,,,
"Actividad economica no especificada (021)",763,443,104,130,86
"Hombres (022)",13825,6364,1795,3048,2618
"Agric., ganadería, caza y silvicultura (023)",1057,925,56,38,38
"Pesca (024)",57,53,1,2,1
"Explotación de minas y canteras (025)",3801,1029,555,1136,1081
"Industrias manufactureras (026)",1381,451,115,609,206
"Suministro de electricidad, gas y agua (027)",97,11,1,75,10
"Construcción (028)",1576,645,258,314,359
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1452,1100,153,131,68
"Venta, mant.y rep. veh.autom y motoc. (030)",473,241,83,89,60
"Comercio al por mayor (031)",49,32,5,4,8
"Comercio al por menor (032)",930,827,65,38,
"Hoteles y restaurantes (033)",413,292,89,30,2
"Trans., almac. y comunicaciones (034)",1622,1042,172,198,210
"Intermediación financiera (035)",32,9,5,16,2
"Activid.inmobil., empres. y alquileres (036)",928,337,198,244,149
"Admin.pub. y defensa; p. segur soc.afil (037)",321,,,,321
"Enseñanza (038)",280,44,67,113,56
"Servicios sociales y de salud (039)",74,21,9,4,40
"Otras activ. serv.comun.soc y personales (040)",274,202,37,28,7
