"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANTA (000)",40096,7609,6761,6497,6527,4959,7743
"Conviviente (001)",8911,123,1713,3458,2187,864,566
"Separado(a) (002)",806,6,143,206,209,122,120
"Casado(a) (003)",13484,14,155,1613,3608,3411,4683
"Viudo(a) (004)",2686,2,6,46,167,360,2105
"Divorciado(a) (005)",136,,8,19,19,35,55
"Soltero(a) (006)",14073,7464,4736,1155,337,167,214
"Hombres (008)",20015,4007,3549,3153,3164,2482,3660
"Conviviente (009)",4349,69,556,1701,1200,499,324
"Separado(a) (010)",217,4,16,31,59,51,56
"Casado(a) (011)",6677,4,51,633,1659,1734,2596
"Viudo(a) (012)",646,1,1,9,26,73,536
"Divorciado(a) (013)",71,,5,10,9,18,29
"Soltero(a) (014)",8055,3929,2920,769,211,107,119
"Mujeres (016)",20081,3602,3212,3344,3363,2477,4083
"Conviviente (017)",4562,54,1157,1757,987,365,242
"Separado(a) (018)",589,2,127,175,150,71,64
"Casado(a) (019)",6807,10,104,980,1949,1677,2087
"Viudo(a) (020)",2040,1,5,37,141,287,1569
"Divorciado(a) (021)",65,,3,9,10,17,26
"Soltero(a) (022)",6018,3535,1816,386,126,60,95
,,,,,,,
"URBANA (024)",14344,2690,2459,2497,2399,1699,2600
"Conviviente (025)",3584,40,614,1412,939,364,215
"Separado(a) (026)",385,4,50,98,118,58,57
"Casado(a) (027)",4232,7,51,447,1139,1078,1510
"Viudo(a) (028)",878,,2,22,54,101,699
"Divorciado(a) (029)",62,,2,7,6,18,29
"Soltero(a) (030)",5203,2639,1740,511,143,80,90
"Hombres (032)",7039,1413,1269,1171,1133,861,1192
"Conviviente (033)",1725,23,212,651,505,212,122
"Separado(a) (034)",86,2,6,10,31,20,17
"Casado(a) (035)",2082,1,20,175,497,555,834
"Viudo(a) (036)",186,,1,4,10,16,155
"Divorciado(a) (037)",34,,1,3,4,8,18
"Soltero(a) (038)",2926,1387,1029,328,86,50,46
"Mujeres (040)",7305,1277,1190,1326,1266,838,1408
"Conviviente (041)",1859,17,402,761,434,152,93
"Separado(a) (042)",299,2,44,88,87,38,40
"Casado(a) (043)",2150,6,31,272,642,523,676
"Viudo(a) (044)",692,,1,18,44,85,544
"Divorciado(a) (045)",28,,1,4,2,10,11
"Soltero(a) (046)",2277,1252,711,183,57,30,44
,,,,,,,
"RURAL (048)",25752,4919,4302,4000,4128,3260,5143
"Conviviente (049)",5327,83,1099,2046,1248,500,351
"Separado(a) (050)",421,2,93,108,91,64,63
"Casado(a) (051)",9252,7,104,1166,2469,2333,3173
"Viudo(a) (052)",1808,2,4,24,113,259,1406
"Divorciado(a) (053)",74,,6,12,13,17,26
"Soltero(a) (054)",8870,4825,2996,644,194,87,124
"Hombres (056)",12976,2594,2280,1982,2031,1621,2468
"Conviviente (057)",2624,46,344,1050,695,287,202
"Separado(a) (058)",131,2,10,21,28,31,39
"Casado(a) (059)",4595,3,31,458,1162,1179,1762
"Viudo(a) (060)",460,1,,5,16,57,381
"Divorciado(a) (061)",37,,4,7,5,10,11
"Soltero(a) (062)",5129,2542,1891,441,125,57,73
"Mujeres (064)",12776,2325,2022,2018,2097,1639,2675
"Conviviente (065)",2703,37,755,996,553,213,149
"Separado(a) (066)",290,,83,87,63,33,24
"Casado(a) (067)",4657,4,73,708,1307,1154,1411
"Viudo(a) (068)",1348,1,4,19,97,202,1025
"Divorciado(a) (069)",37,,2,5,8,7,15
"Soltero(a) (070)",3741,2283,1105,203,69,30,51
