"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia QUISPICANCHI (000)",76430,4274,10718,11138,7812,12226,10145,14955,5162
"Sin nivel (001)",15600,4274,1264,75,139,964,1556,4333,2995
"Educación inicial (002)",2272,,2168,28,7,34,35,,
"Primaria (003)",36242,,7286,8393,2107,4751,4850,7031,1824
"Secundaria (004)",17174,,,2642,5068,4233,2508,2475,248
"Superior no univ. incompleto (005)",1526,,,,333,760,244,180,9
"Superior no univ. completo (006)",1391,,,,,665,433,269,24
"Superior univ. incompleto (007)",1051,,,,158,499,146,235,13
"Superior univ. completo (008)",1174,,,,,320,373,432,49
"Hombres (010)",38488,2109,5418,5828,4092,6154,5148,7506,2233
"Sin nivel (011)",4790,2109,617,37,38,147,278,812,752
"Educación inicial (012)",1164,,1128,14,2,11,9,,
"Primaria (013)",18938,,3673,4296,867,2092,2524,4245,1241
"Secundaria (014)",10523,,,1481,2924,2672,1608,1667,171
"Superior no univ. incompleto (015)",884,,,,177,437,142,121,7
"Superior no univ. completo (016)",813,,,,,355,265,178,15
"Superior univ. incompleto (017)",664,,,,84,287,100,181,12
"Superior univ. completo (018)",712,,,,,153,222,302,35
"Mujeres (020)",37942,2165,5300,5310,3720,6072,4997,7449,2929
"Sin nivel (021)",10810,2165,647,38,101,817,1278,3521,2243
"Educación inicial (022)",1108,,1040,14,5,23,26,,
"Primaria (023)",17304,,3613,4097,1240,2659,2326,2786,583
"Secundaria (024)",6651,,,1161,2144,1561,900,808,77
"Superior no univ. incompleto (025)",642,,,,156,323,102,59,2
"Superior no univ. completo (026)",578,,,,,310,168,91,9
"Superior univ. incompleto (027)",387,,,,74,212,46,54,1
"Superior univ. completo (028)",462,,,,,167,151,130,14
,,,,,,,,,
"URBANA (030)",27285,1245,3074,3625,3026,4724,4043,5598,1950
"Sin nivel (031)",3258,1245,210,10,16,124,208,688,757
"Educación inicial (032)",763,,722,19,3,10,9,,
"Primaria (033)",9939,,2142,2319,316,830,1180,2226,926
"Secundaria (034)",9403,,,1277,2376,2158,1659,1744,189
"Superior no univ. incompleto (035)",1034,,,,188,483,205,152,6
