"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6010,5581,1439,949,905,697,756,383,220,232,429,15190
"De 12 a 14 años (001)",532,528,525,1,2,,,,,,4,5
"De 15 a 19 años (002)",759,711,583,114,12,1,1,,,,48,145
"De 20 a 24 años (003)",754,625,151,334,108,26,5,1,,,129,654
"De 25 a 29 años (004)",702,621,43,216,218,101,42,1,,,81,1139
"De 30 a 34 años (005)",635,584,23,99,208,132,107,11,3,1,51,1476
"De 35 a 39 años (006)",538,521,16,47,141,140,134,36,5,2,17,1623
"De 40 a 44 años (007)",473,447,11,34,80,114,132,50,16,10,26,1664
"De 45 a 49 años (008)",409,386,21,28,44,70,113,72,27,11,23,1644
"De 50 y más años (009)",1208,1158,66,76,92,113,222,212,169,208,50,6840
"Sin nivel (010)",243,228,17,14,9,11,40,37,34,66,15,1567
"De 12 a 14 años (011)",5,5,5,,,,,,,,,
"De 15 a 19 años (012)",2,2,1,,1,,,,,,,2
"De 20 a 24 años (013)",9,7,2,4,1,,,,,,2,6
"De 25 a 29 años (014)",9,9,1,2,1,3,2,,,,,22
"De 30 a 34 años (015)",11,8,2,1,,1,4,,,,3,22
"De 35 a 39 años (016)",10,10,1,,3,2,3,1,,,,31
"De 40 a 44 años (017)",16,14,1,,,1,7,2,3,,2,72
"De 45 a 49 años (018)",19,16,1,1,,1,7,6,,,3,73
"De 50 y más años (019)",162,157,3,6,3,3,17,28,31,66,5,1339
"Educacion Inicial (020)",12,9,6,,,1,1,1,,,3,14
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",2,2,2,,,,,,,,,
"De 20 a 24 años (023)",3,2,1,,,,1,,,,1,4
