"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia OCROS (000)",3528,404,862,1821,36,381,24
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,27,,,,,
"Profes., científicos e intelectuales (002)",194,158,,36,,,
"Técnicos de nivel medio y trab. asimilados (003)",52,30,,19,3,,
"Jefes y empleados de oficina (004)",58,58,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",372,40,1,301,1,29,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1193,,,1170,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",110,,28,77,2,3,
"Obreros construc.,conf.,papel, fab., instr. (008)",162,18,56,81,6,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1261,45,761,86,,345,24
"Otra (010)",7,7,,,,,
"Ocupación no especificada (011)",92,21,16,51,1,3,
"Hombres (012)",2606,224,735,1382,31,229,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,19,,,,,
"Profes., científicos e intelectuales (014)",97,72,,25,,,
"Técnicos de nivel medio y trab. asimilados (015)",42,20,,19,3,,
"Jefes y empleados de oficina (016)",30,30,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",125,19,,100,,6,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1065,,,1046,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",89,,25,61,2,1,
"Obreros construc.,conf.,papel, fab., instr. (020)",158,17,56,78,6,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",938,31,646,37,,219,5
"Otra (022)",7,7,,,,,
"Ocupación no especificada (023)",36,9,8,16,1,2,
"Mujeres (024)",922,180,127,439,5,152,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,8,,,,,
"Profes., científicos e intelectuales (026)",97,86,,11,,,
"Técnicos de nivel medio y trab. asimilados (027)",10,10,,,,,
"Jefes y empleados de oficina (028)",28,28,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",247,21,1,201,1,23,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",128,,,124,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",21,,3,16,,2,
"Obreros construc.,conf.,papel, fab., instr. (032)",4,1,,3,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",323,14,115,49,,126,19
"Ocupación no especificada (035)",56,12,8,35,,1,
,,,,,,,
"URBANA (036)",2130,348,454,1086,23,204,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",26,26,,,,,
"Profes., científicos e intelectuales (038)",159,128,,31,,,
"Técnicos de nivel medio y trab. asimilados (039)",40,26,,14,,,
"Jefes y empleados de oficina (040)",51,51,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",296,37,1,234,1,23,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",604,,,589,15,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",90,,19,67,1,3,
"Obreros construc.,conf.,papel, fab., instr. (044)",119,14,39,60,5,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",674,41,385,58,,175,15
"Otra (046)",7,7,,,,,
"Ocupación no especificada (047)",64,18,10,33,1,2,
"Hombres (048)",1508,194,392,782,19,117,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",18,18,,,,,
"Profes., científicos e intelectuales (050)",78,58,,20,,,
"Técnicos de nivel medio y trab. asimilados (051)",32,18,,14,,,
"Jefes y empleados de oficina (052)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",105,18,,83,,4,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",526,,,514,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",72,,16,54,1,1,
"Obreros construc.,conf.,papel, fab., instr. (056)",116,13,39,58,5,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",502,28,334,26,,110,4
"Otra (058)",7,7,,,,,
"Ocupación no especificada (059)",26,8,3,13,1,1,
"Mujeres (060)",622,154,62,304,4,87,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",8,8,,,,,
"Profes., científicos e intelectuales (062)",81,70,,11,,,
"Técnicos de nivel medio y trab. asimilados (063)",8,8,,,,,
"Jefes y empleados de oficina (064)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",191,19,1,151,1,19,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",78,,,75,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",18,,3,13,,2,
"Obreros construc.,conf.,papel, fab., instr. (068)",3,1,,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",172,13,51,32,,65,11
"Ocupación no especificada (071)",38,10,7,20,,1,
,,,,,,,
"RURAL (072)",1398,56,408,735,13,177,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",35,30,,5,,,
"Técnicos de nivel medio y trab. asimilados (075)",12,4,,5,3,,
"Jefes y empleados de oficina (076)",7,7,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",76,3,,67,,6,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",589,,,581,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",20,,9,10,1,,
"Obreros construc.,conf.,papel, fab., instr. (080)",43,4,17,21,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",587,4,376,28,,170,9
"Ocupación no especificada (083)",28,3,6,18,,1,
"Hombres (084)",1098,30,343,600,12,112,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",19,14,,5,,,
"Técnicos de nivel medio y trab. asimilados (087)",10,2,,5,3,,
"Jefes y empleados de oficina (088)",4,4,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",20,1,,17,,2,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",539,,,532,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",17,,9,7,1,,
"Obreros construc.,conf.,papel, fab., instr. (092)",42,4,17,20,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",436,3,312,11,,109,1
"Ocupación no especificada (095)",10,1,5,3,,1,
"Mujeres (096)",300,26,65,135,1,65,8
"Profes., científicos e intelectuales (098)",16,16,,,,,
"Técnicos de nivel medio y trab. asimilados (099)",2,2,,,,,
"Jefes y empleados de oficina (100)",3,3,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",56,2,,50,,4,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",50,,,49,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (103)",3,,,3,,,
"Obreros construc.,conf.,papel, fab., instr. (104)",1,,,1,,,
