"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia TACNA",,,,,,
"Viviendas particulares (001)",71553,68052,2874,532,82,13
"Ocupantes presentes (002)",258846,230306,21324,5817,1132,267
"Casa independiente",,,,,,
"Viviendas particulares (004)",61902,58565,2743,503,80,11
"Ocupantes presentes (005)",232477,205239,20389,5506,1108,235
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",2226,2166,52,7,,1
"Ocupantes presentes (008)",6748,6293,371,71,,13
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",393,372,16,4,1,
"Ocupantes presentes (011)",1222,1062,109,40,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",410,379,17,12,1,1
"Ocupantes presentes (014)",1386,1099,133,122,13,19
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1807,1784,19,4,,
"Ocupantes presentes (017)",4849,4662,135,52,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",4646,4618,26,2,,
"Ocupantes presentes (020)",11788,11582,180,26,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",139,138,1,,,
"Ocupantes presentes (023)",306,299,7,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",30,30,,,,
"Ocupantes presentes (026)",70,70,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",66179,62802,2770,513,81,13
"Ocupantes presentes (029)",242401,214872,20548,5592,1122,267
"Casa independiente",,,,,,
"Viviendas particulares (031)",58355,55119,2658,488,79,11
"Ocupantes presentes (032)",220923,194509,19748,5333,1098,235
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",2226,2166,52,7,,1
"Ocupantes presentes (035)",6748,6293,371,71,,13
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",393,372,16,4,1,
"Ocupantes presentes (038)",1222,1062,109,40,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",410,379,17,12,1,1
"Ocupantes presentes (041)",1386,1099,133,122,13,19
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",4646,4618,26,2,,
"Ocupantes presentes (047)",11788,11582,180,26,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",131,130,1,,,
"Ocupantes presentes (050)",294,287,7,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",18,18,,,,
"Ocupantes presentes (053)",40,40,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",5374,5250,104,19,1,
"Ocupantes presentes (056)",16445,15434,776,225,10,
"Casa independiente",,,,,,
"Viviendas particulares (058)",3547,3446,85,15,1,
"Ocupantes presentes (059)",11554,10730,641,173,10,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1807,1784,19,4,,
"Ocupantes presentes (071)",4849,4662,135,52,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",8,8,,,,
"Ocupantes presentes (077)",12,12,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",12,12,,,,
"Ocupantes presentes (080)",30,30,,,,
