"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CAMANA (000)",53065,52591,348,126
"Hombres (001)",27750,27519,167,64
"Mujeres (002)",25315,25072,181,62
"Menores de 1 año (003)",915,751,133,31
"Hombres (004)",465,380,72,13
"Mujeres (005)",450,371,61,18
"De 1 a 5 años (006)",4928,4708,130,90
"Hombres (007)",2549,2434,66,49
"Mujeres (008)",2379,2274,64,41
"De 6 a 14 años (009)",9071,9062,8,1
"Hombres (010)",4655,4649,6,
"Mujeres (011)",4416,4413,2,1
"De 15 a 29 años (012)",14387,14381,6,
"Hombres (013)",7392,7389,3,
"Mujeres (014)",6995,6992,3,
"De 30 a 44 años (015)",11803,11796,5,2
"Hombres (016)",6206,6201,3,2
"Mujeres (017)",5597,5595,2,
"De 45 a 64 años (018)",8729,8716,13,
"Hombres (019)",4765,4763,2,
"Mujeres (020)",3964,3953,11,
"De 65 a más años (021)",3232,3177,53,2
"Hombres (022)",1718,1703,15,
"Mujeres (023)",1514,1474,38,2
,,,,
"URBANA (024)",44741,44364,276,101
"Hombres (025)",22722,22549,126,47
"Mujeres (026)",22019,21815,150,54
"Menores de 1 año (027)",752,627,100,25
"Hombres (028)",378,318,51,9
"Mujeres (029)",374,309,49,16
"De 1 a 5 años (030)",4046,3863,109,74
"Hombres (031)",2111,2018,55,38
"Mujeres (032)",1935,1845,54,36
"De 6 a 14 años (033)",8014,8007,6,1
"Hombres (034)",4096,4092,4,
"Mujeres (035)",3918,3915,2,1
"De 15 a 29 años (036)",11527,11521,6,
"Hombres (037)",5620,5617,3,
"Mujeres (038)",5907,5904,3,
"De 30 a 44 años (039)",9960,9958,2,
"Hombres (040)",5012,5010,2,
"Mujeres (041)",4948,4948,,
"De 45 a 64 años (042)",7602,7590,12,
"Hombres (043)",4034,4032,2,
"Mujeres (044)",3568,3558,10,
"De 65 a más años (045)",2840,2798,41,1
"Hombres (046)",1471,1462,9,
"Mujeres (047)",1369,1336,32,1
,,,,
"RURAL (048)",8324,8227,72,25
"Hombres (049)",5028,4970,41,17
"Mujeres (050)",3296,3257,31,8
"Menores de 1 año (051)",163,124,33,6
"Hombres (052)",87,62,21,4
"Mujeres (053)",76,62,12,2
"De 1 a 5 años (054)",882,845,21,16
"Hombres (055)",438,416,11,11
"Mujeres (056)",444,429,10,5
"De 6 a 14 años (057)",1057,1055,2,
"Hombres (058)",559,557,2,
"Mujeres (059)",498,498,,
"De 15 a 29 años (060)",2860,2860,,
"Hombres (061)",1772,1772,,
"Mujeres (062)",1088,1088,,
"De 30 a 44 años (063)",1843,1838,3,2
"Hombres (064)",1194,1191,1,2
"Mujeres (065)",649,647,2,
"De 45 a 64 años (066)",1127,1126,1,
"Hombres (067)",731,731,,
"Mujeres (068)",396,395,1,
"De 65 a más años (069)",392,379,12,1
"Hombres (070)",247,241,6,
"Mujeres (071)",145,138,6,1
