"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",30094,714,9762,10354,7679,1585
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,1,10,20,2
"Profes., científicos e intelectuales (002)",2072,,509,959,579,25
"Técnicos de nivel medio y trab.asimilados (003)",862,1,269,364,214,14
"Jefes y empleados de oficina (004)",611,,204,251,155,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2695,45,754,1054,707,135
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4621,7,716,1605,1673,620
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1462,27,547,430,389,69
"Obreros construc., conf., papel, fab., instr. (008)",2267,4,757,880,570,56
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",12451,564,4701,3868,2777,541
"Otra (010)",174,,19,109,45,1
"Ocupación no especificada (011)",707,11,236,241,174,45
"Desocupado (012)",2139,55,1049,583,376,76
"Hombres (013)",22230,459,7218,7399,5869,1285
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",27,,,7,19,1
"Profes., científicos e intelectuales (015)",1059,,237,464,337,21
"Técnicos de nivel medio y trab.asimilados (016)",525,1,159,212,139,14
"Jefes y empleados de oficina (017)",307,,83,132,91,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1151,24,364,422,276,65
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4205,3,641,1467,1531,563
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1118,10,442,326,292,48
"Obreros construc., conf., papel, fab., instr. (021)",2230,4,746,867,559,54
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",9456,370,3673,2846,2149,418
"Otra (023)",171,,18,109,43,1
"Ocupación no especificada (024)",354,8,133,98,90,25
"Desocupado (025)",1627,39,722,449,343,74
"Mujeres (026)",7864,255,2544,2955,1810,300
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,1,3,1,1
"Profes., científicos e intelectuales (028)",1013,,272,495,242,4
"Técnicos de nivel medio y trab.asimilados (029)",337,,110,152,75,
"Jefes y empleados de oficina (030)",304,,121,119,64,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1544,21,390,632,431,70
"Agricult.trabaj. calif. agrop. y pesqueros (032)",416,4,75,138,142,57
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",344,17,105,104,97,21
