"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JULCAN (000)",30470,1815,4131,4714,3082,4513,4053,5937,2225
"Sabe leer y escribir (001)",23883,,2872,4646,2975,4225,3655,4458,1052
"No sabe leer y escribir (002)",6587,1815,1259,68,107,288,398,1479,1173
"Hombres (004)",15260,906,2066,2443,1576,2194,1992,2971,1112
"Sabe leer y escribir (005)",12937,,1429,2418,1532,2121,1916,2708,813
"No sabe leer y escribir (006)",2323,906,637,25,44,73,76,263,299
"Mujeres (008)",15210,909,2065,2271,1506,2319,2061,2966,1113
"Sabe leer y escribir (009)",10946,,1443,2228,1443,2104,1739,1750,239
"No sabe leer y escribir (010)",4264,909,622,43,63,215,322,1216,874
,,,,,,,,,
"URBANA (012)",4571,218,490,711,436,635,718,1051,312
"Sabe leer y escribir (013)",3816,,371,704,425,601,680,860,175
"No sabe leer y escribir (014)",755,218,119,7,11,34,38,191,137
"Hombres (016)",2212,111,234,392,220,267,335,506,147
"Sabe leer y escribir (017)",1974,,180,389,215,257,329,477,127
"No sabe leer y escribir (018)",238,111,54,3,5,10,6,29,20
"Mujeres (020)",2359,107,256,319,216,368,383,545,165
"Sabe leer y escribir (021)",1842,,191,315,210,344,351,383,48
"No sabe leer y escribir (022)",517,107,65,4,6,24,32,162,117
,,,,,,,,,
"RURAL (024)",25899,1597,3641,4003,2646,3878,3335,4886,1913
"Sabe leer y escribir (025)",20067,,2501,3942,2550,3624,2975,3598,877
"No sabe leer y escribir (026)",5832,1597,1140,61,96,254,360,1288,1036
"Hombres (028)",13048,795,1832,2051,1356,1927,1657,2465,965
"Sabe leer y escribir (029)",10963,,1249,2029,1317,1864,1587,2231,686
"No sabe leer y escribir (030)",2085,795,583,22,39,63,70,234,279
"Mujeres (032)",12851,802,1809,1952,1290,1951,1678,2421,948
"Sabe leer y escribir (033)",9104,,1252,1913,1233,1760,1388,1367,191
"No sabe leer y escribir (034)",3747,802,557,39,57,191,290,1054,757
