"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia EL COLLAO (000)",31442,2598,1249,19995,140,7345,115
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,20,,,2,,
"Profes., científicos e intelectuales (002)",1277,1168,,100,4,5,
"Técnicos de nivel medio y trab. asimilados (003)",258,162,,86,9,1,
"Jefes y empleados de oficina (004)",337,335,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2896,201,2,2259,33,401,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14451,,1,14393,56,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",885,,124,708,16,37,
"Obreros construc.,conf.,papel, fab., instr. (008)",1162,99,283,744,12,24,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",9025,173,756,1171,2,6808,115
"Otra (010)",336,336,,,,,
"Ocupación no especificada (011)",793,104,83,533,6,67,
"Hombres (012)",18752,1926,1066,13334,107,2304,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,17,,,2,,
"Profes., científicos e intelectuales (014)",933,846,,80,3,4,
"Técnicos de nivel medio y trab. asimilados (015)",190,113,,71,5,1,
"Jefes y empleados de oficina (016)",220,219,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1080,120,1,858,18,83,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10508,,1,10459,47,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",588,,114,440,15,19,
"Obreros construc.,conf.,papel, fab., instr. (020)",1125,99,282,710,12,22,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3360,113,606,485,1,2140,15
"Otra (022)",327,327,,,,,
"Ocupación no especificada (023)",402,72,62,230,4,34,
"Mujeres (024)",12690,672,183,6661,33,5041,100
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",344,322,,20,1,1,
"Técnicos de nivel medio y trab. asimilados (027)",68,49,,15,4,,
"Jefes y empleados de oficina (028)",117,116,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1816,81,1,1401,15,318,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",3943,,,3934,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",297,,10,268,1,18,
"Obreros construc.,conf.,papel, fab., instr. (032)",37,,1,34,,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5665,60,150,686,1,4668,100
"Otra (034)",9,9,,,,,
"Ocupación no especificada (035)",391,32,21,303,2,33,
,,,,,,,
"URBANA (036)",9191,2057,661,5323,89,987,74
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",15,13,,,2,,
"Profes., científicos e intelectuales (038)",983,900,,76,4,3,
"Técnicos de nivel medio y trab. asimilados (039)",206,128,,69,8,1,
"Jefes y empleados de oficina (040)",254,253,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2366,151,2,1846,30,337,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1389,,,1367,22,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",529,,87,414,11,17,
"Obreros construc.,conf.,papel, fab., instr. (044)",727,75,182,453,6,11,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",2031,143,323,908,1,582,74
"Otra (046)",305,305,,,,,
"Ocupación no especificada (047)",386,89,67,189,5,36,
"Hombres (048)",5386,1468,554,2948,65,338,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,11,,,2,,
"Profes., científicos e intelectuales (050)",684,618,,61,3,2,
"Técnicos de nivel medio y trab. asimilados (051)",150,89,,56,4,1,
"Jefes y empleados de oficina (052)",146,145,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",849,81,1,684,15,68,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",965,,,945,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",411,,81,309,11,10,
"Obreros construc.,conf.,papel, fab., instr. (056)",701,75,181,429,6,10,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",949,88,244,379,,225,13
"Otra (058)",296,296,,,,,
"Ocupación no especificada (059)",222,65,47,84,4,22,
"Mujeres (060)",3805,589,107,2375,24,649,61
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",299,282,,15,1,1,
"Técnicos de nivel medio y trab. asimilados (063)",56,39,,13,4,,
"Jefes y empleados de oficina (064)",108,108,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1517,70,1,1162,15,269,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",424,,,422,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",118,,6,105,,7,
"Obreros construc.,conf.,papel, fab., instr. (068)",26,,1,24,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",1082,55,79,529,1,357,61
"Otra (070)",9,9,,,,,
"Ocupación no especificada (071)",164,24,20,105,1,14,
,,,,,,,
"RURAL (072)",22251,541,588,14672,51,6358,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",7,7,,,,,
"Profes., científicos e intelectuales (074)",294,268,,24,,2,
"Técnicos de nivel medio y trab. asimilados (075)",52,34,,17,1,,
"Jefes y empleados de oficina (076)",83,82,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",530,50,,413,3,64,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",13062,,1,13026,34,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",356,,37,294,5,20,
"Obreros construc.,conf.,papel, fab., instr. (080)",435,24,101,291,6,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",6994,30,433,263,1,6226,41
"Otra (082)",31,31,,,,,
"Ocupación no especificada (083)",407,15,16,344,1,31,
"Hombres (084)",13366,458,512,10386,42,1966,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",6,6,,,,,
"Profes., científicos e intelectuales (086)",249,228,,19,,2,
"Técnicos de nivel medio y trab. asimilados (087)",40,24,,15,1,,
"Jefes y empleados de oficina (088)",74,74,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",231,39,,174,3,15,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",9543,,1,9514,27,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",177,,33,131,4,9,
"Obreros construc.,conf.,papel, fab., instr. (092)",424,24,101,281,6,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2411,25,362,106,1,1915,2
"Otra (094)",31,31,,,,,
"Ocupación no especificada (095)",180,7,15,146,,12,
"Mujeres (096)",8885,83,76,4286,9,4392,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
