"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARAL (000)",63447,59871,17130,10074,10422,7379,8060,3948,1823,1035,3576,140485
"De 12 a 14 años (001)",5154,5132,5106,22,4,,,,,,22,30
"De 15 a 19 años (002)",7974,7789,6954,757,68,9,1,,,,185,924
"De 20 a 24 años (003)",7301,6172,2593,2538,847,155,22,17,,,1129,4898
"De 25 a 29 años (004)",6723,5818,797,2338,1840,635,193,12,3,,905,8831
"De 30 a 34 años (005)",6592,6119,470,1629,2199,1137,612,66,,6,473,12511
"De 35 a 39 años (006)",5990,5735,276,948,1823,1408,1041,210,25,4,255,14851
"De 40 a 44 años (007)",5100,4923,216,554,1237,1195,1260,369,79,13,177,15212
"De 45 a 49 años (008)",4106,3998,153,358,802,840,1162,486,150,47,108,14452
"De 50 y más años (009)",14507,14185,565,930,1602,2000,3769,2788,1566,965,322,68776
"Sin nivel (010)",5330,5187,254,318,539,585,1276,1069,693,453,143,26636
"De 12 a 14 años (011)",37,37,35,2,,,,,,,,2
"De 15 a 19 años (012)",74,74,55,13,5,1,,,,,,26
"De 20 a 24 años (013)",110,93,21,40,20,5,4,3,,,17,132
"De 25 a 29 años (014)",172,150,13,40,54,28,12,2,1,,22,305
"De 30 a 34 años (015)",324,311,15,37,109,66,71,12,,1,13,845
"De 35 a 39 años (016)",400,388,15,24,79,99,131,39,1,,12,1299
"De 40 a 44 años (017)",420,406,15,18,57,84,134,70,22,6,14,1669
"De 45 a 49 años (018)",455,445,14,22,34,47,158,101,55,14,10,2197
"De 50 y más años (019)",3338,3283,71,122,181,255,766,842,614,432,55,20161
"Educacion Inicial (020)",93,84,32,13,17,11,9,2,,,9,131
"De 12 a 14 años (021)",13,13,13,,,,,,,,,
