"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA MAR (000)",26558,23608,1435,498,1017
"Sin nivel (001)",4341,4186,123,18,14
"Educación inicial (002)",58,56,2,,
"Primaria (003)",11734,11049,511,80,94
"Secundaria (004)",7924,7177,433,85,229
"Superior no univ. incompleta (005)",499,335,51,33,80
"Superior no univ. completa (006)",911,375,135,134,267
"Superior univ. incompleta (007)",266,150,27,22,67
"Superior univ. completa (008)",825,280,153,126,266
"De 06 a 14 años (010)",871,807,54,6,4
"Sin nivel (011)",76,70,6,,
"Educación inicial (012)",12,11,1,,
"Primaria (013)",630,584,39,4,3
"Secundaria (014)",153,142,8,2,1
"De 15 a 29 años (020)",9340,8275,578,167,320
"Sin nivel (021)",295,284,10,1,
"Educación inicial (022)",19,18,1,,
"Primaria (023)",3381,3155,171,27,28
"Secundaria (024)",4789,4375,280,54,80
"Superior no univ. incompleta (025)",212,145,25,12,30
"Superior no univ. completa (026)",312,154,36,31,91
"Superior univ. incompleta (027)",109,70,12,10,17
"Superior univ. completa (028)",223,74,43,32,74
"De 30 a 44 años (030)",9123,7865,520,239,499
"Sin nivel (031)",1242,1196,34,8,4
"Educación inicial (032)",27,27,,,
"Primaria (033)",4395,4142,190,32,31
"Secundaria (034)",2209,1975,111,20,103
"Superior no univ. incompleta (035)",225,146,20,20,39
"Superior no univ. completa (036)",477,178,75,81,143
"Superior univ. incompleta (037)",105,52,9,11,33
"Superior univ. completa (038)",443,149,81,67,146
"De 45 a 64 años (040)",5677,5164,246,84,183
"Sin nivel (041)",1846,1775,55,8,8
"Primaria (043)",2740,2597,98,17,28
"Secundaria (044)",712,632,31,8,41
"Superior no univ. incompleta (045)",59,41,6,1,11
"Superior no univ. completa (046)",120,41,24,22,33
"Superior univ. incompleta (047)",51,27,6,1,17
"Superior univ. completa (048)",149,51,26,27,45
"De 65 y más años (050)",1547,1497,37,2,11
"Sin nivel (051)",882,861,18,1,2
"Primaria (053)",588,571,13,,4
"Secundaria (054)",61,53,3,1,4
"Superior no univ. incompleta (055)",3,3,,,
"Superior no univ. completa (056)",2,2,,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",10,6,3,,1
,,,,,
"URBANA (060)",12204,10279,905,382,638
