"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCABAMBA (000)",31314,28154,1597,681,882
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",52,,18,7,27
"Profes., científicos e intelectuales (002)",1963,968,510,353,132
"Técnicos de nivel medio y trab. asimilados (003)",455,206,37,37,175
"Jefes y empleados de oficina (004)",445,103,37,75,230
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1274,1202,39,11,22
"Agricult.trabaj.calif.agrop.y pesqueros (006)",15491,15139,349,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1278,1201,47,12,18
"Obreros construc.,conf.,papel, fab., instr. (008)",1011,773,133,53,52
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8479,7805,402,116,156
"Otra (010)",66,,,,66
"Ocupación no especificada (011)",800,757,25,14,4
"Hombres (012)",24333,22080,1212,430,611
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,,15,5,23
"Profes., científicos e intelectuales (014)",1011,457,288,190,76
"Técnicos de nivel medio y trab. asimilados (015)",290,142,25,23,100
"Jefes y empleados de oficina (016)",245,53,17,39,136
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",653,609,24,6,14
"Agricult.trabaj.calif.agrop.y pesqueros (018)",14481,14149,329,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",594,523,42,11,18
"Obreros construc.,conf.,papel, fab., instr. (020)",978,752,128,50,48
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5778,5224,332,94,128
"Otra (022)",65,,,,65
"Ocupación no especificada (023)",195,171,12,9,3
"Mujeres (024)",6981,6074,385,251,271
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,3,2,4
"Profes., científicos e intelectuales (026)",952,511,222,163,56
"Técnicos de nivel medio y trab. asimilados (027)",165,64,12,14,75
"Jefes y empleados de oficina (028)",200,50,20,36,94
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",621,593,15,5,8
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1010,990,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",684,678,5,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",33,21,5,3,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2701,2581,70,22,28
