"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN ROMAN (000)",90010,1270,30533,34105,20684,3418
"Agric., ganadería, caza y silvicultura (001)",7948,149,1685,2093,2689,1332
"Pesca (002)",21,,8,6,5,2
"Explotación de minas y canteras (003)",1052,2,384,485,174,7
"Industrias manufactureras (004)",12306,253,5651,3841,2193,368
"Suministro de electricidad, gas y agua (005)",155,,41,73,40,1
"Construcción (006)",5761,42,1924,2286,1354,155
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",26416,424,8325,10288,6427,952
"Venta, mant.y rep. veh.autom.y motoc. (008)",2490,30,1166,851,407,36
"Comercio al por mayor (009)",1432,12,475,564,331,50
"Comercio al por menor (010)",22494,382,6684,8873,5689,866
"Hoteles y restaurantes (011)",4952,158,1834,1680,1132,148
"Trans., almac. y comunicaciones (012)",10715,85,3999,4221,2249,161
"Intermediación financiera (013)",437,,201,188,47,1
"Activid.inmobil., empres. y alquileres (014)",2944,2,1217,1237,458,30
"Admin.pub. y defensa; p. segur.soc.afil (015)",2695,,970,1156,547,22
"Enseñanza (016)",7054,,1132,3893,1976,53
"Servicios sociales y de salud (017)",1797,1,500,807,470,19
"Otras activ. serv.comun.soc y personales (018)",2085,71,954,702,310,48
"Hogares privados con servicio doméstico (019)",1279,70,801,270,116,22
"Actividad economica no especificada (021)",2393,13,907,879,497,97
"Hombres (022)",52209,715,17481,19630,12362,2021
"Agric., ganadería, caza y silvicultura (023)",4400,79,885,1113,1505,818
"Pesca (024)",20,,7,6,5,2
"Explotación de minas y canteras (025)",991,1,362,459,163,6
"Industrias manufactureras (026)",7490,160,3564,2284,1283,199
"Suministro de electricidad, gas y agua (027)",136,,35,61,39,1
"Construcción (028)",5608,38,1860,2229,1330,151
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",11036,228,3719,3998,2638,453
"Venta, mant.y rep. veh.autom.y motoc. (030)",2154,28,1009,724,362,31
"Comercio al por mayor (031)",713,5,234,274,171,29
"Comercio al por menor (032)",8169,195,2476,3000,2105,393
"Hoteles y restaurantes (033)",1310,68,525,364,303,50
"Trans., almac. y comunicaciones (034)",9896,67,3470,4015,2186,158
"Intermediación financiera (035)",238,,88,115,34,1
"Activid.inmobil., empres. y alquileres (036)",2131,1,768,962,372,28
"Admin.pub. y defensa; p. segur.soc.afil (037)",2012,,645,896,453,18
