"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia RIOJA (000)",97358,5118,13013,13698,11154,17554,14529,18379,3913
"Sabe leer y escribir (001)",82648,,9810,13438,10925,16910,13606,15499,2460
"No sabe leer y escribir (002)",14710,5118,3203,260,229,644,923,2880,1453
"Hombres (004)",50455,2627,6665,6979,5796,8816,7335,10158,2079
"Sabe leer y escribir (005)",44242,,4991,6831,5691,8599,7100,9411,1619
"No sabe leer y escribir (006)",6213,2627,1674,148,105,217,235,747,460
"Mujeres (008)",46903,2491,6348,6719,5358,8738,7194,8221,1834
"Sabe leer y escribir (009)",38406,,4819,6607,5234,8311,6506,6088,841
"No sabe leer y escribir (010)",8497,2491,1529,112,124,427,688,2133,993
,,,,,,,,,
"URBANA (012)",70150,3405,8793,9656,7983,12510,11004,13878,2921
"Sabe leer y escribir (013)",60946,,6761,9522,7868,12167,10494,12184,1950
"No sabe leer y escribir (014)",9204,3405,2032,134,115,343,510,1694,971
"Hombres (016)",35899,1765,4475,4878,4080,6127,5445,7623,1506
"Sabe leer y escribir (017)",31975,,3412,4795,4027,6013,5308,7202,1218
"No sabe leer y escribir (018)",3924,1765,1063,83,53,114,137,421,288
"Mujeres (020)",34251,1640,4318,4778,3903,6383,5559,6255,1415
"Sabe leer y escribir (021)",28971,,3349,4727,3841,6154,5186,4982,732
"No sabe leer y escribir (022)",5280,1640,969,51,62,229,373,1273,683
,,,,,,,,,
"RURAL (024)",27208,1713,4220,4042,3171,5044,3525,4501,992
"Sabe leer y escribir (025)",21702,,3049,3916,3057,4743,3112,3315,510
"No sabe leer y escribir (026)",5506,1713,1171,126,114,301,413,1186,482
"Hombres (028)",14556,862,2190,2101,1716,2689,1890,2535,573
"Sabe leer y escribir (029)",12267,,1579,2036,1664,2586,1792,2209,401
"No sabe leer y escribir (030)",2289,862,611,65,52,103,98,326,172
"Mujeres (032)",12652,851,2030,1941,1455,2355,1635,1966,419
"Sabe leer y escribir (033)",9435,,1470,1880,1393,2157,1320,1106,109
"No sabe leer y escribir (034)",3217,851,560,61,62,198,315,860,310
