"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TACNA (000)",113629,79029,10257,9761,14582
"Agric., ganadería, caza y silvicultura (001)",11998,10214,1256,402,126
"Pesca (002)",558,398,78,58,24
"Explotación de minas y canteras (003)",291,71,32,42,146
"Industrias manufactureras (004)",7222,5414,766,643,399
"Suministro de electricidad, gas y agua (005)",349,43,25,111,170
"Construcción (006)",8185,5455,1170,1054,506
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32443,29066,2171,949,257
"Venta, mant.y rep. veh.autom y motoc. (008)",4482,3357,665,305,155
"Comercio al por mayor (009)",1585,1026,234,223,102
"Comercio al por menor (010)",26376,24683,1272,421,
"Hoteles y restaurantes (011)",7650,6528,695,363,64
"Trans., almac. y comunicaciones (012)",10969,8505,763,920,781
"Intermediación financiera (013)",780,130,74,327,249
"Activid.inmobil., empres. y alquileres (014)",5693,3195,759,852,887
"Admin.pub. y defensa; p. segur soc.afil (015)",6203,,,,6203
"Enseñanza (016)",7933,1166,1355,3014,2398
"Servicios sociales y de salud (017)",2998,777,162,215,1844
"Otras activ. serv.comun.soc y personales (018)",3219,2210,475,387,147
"Hogares privados con servicio doméstico (019)",3411,3411,,,
"Organiz. y organos extraterritoriales (020)",4,,,,4
"Actividad economica no especificada (021)",3723,2446,476,424,377
"Hombres (022)",64978,43687,6527,5680,9084
"Agric., ganadería, caza y silvicultura (023)",7933,6856,770,220,87
"Pesca (024)",502,372,71,46,13
"Explotación de minas y canteras (025)",270,65,30,38,137
"Industrias manufactureras (026)",5186,4026,555,379,226
"Suministro de electricidad, gas y agua (027)",291,34,18,100,139
"Construcción (028)",7927,5338,1128,981,480
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14492,12309,1346,638,199
"Venta, mant.y rep. veh.autom y motoc. (030)",4008,3020,593,257,138
"Comercio al por mayor (031)",848,493,147,147,61
"Comercio al por menor (032)",9636,8796,606,234,
"Hoteles y restaurantes (033)",2427,1811,374,213,29
"Trans., almac. y comunicaciones (034)",9786,7740,614,767,665
"Intermediación financiera (035)",401,64,33,168,136
"Activid.inmobil., empres. y alquileres (036)",3863,2110,502,582,669
"Admin.pub. y defensa; p. segur soc.afil (037)",4349,,,,4349
"Enseñanza (038)",2948,343,458,1066,1081
