"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONCEPCION (000)",18961,15522,1345,976,1118
"Sin nivel (001)",1015,966,38,8,3
"Educación inicial (002)",13,13,,,
"Primaria (003)",5722,5364,274,42,42
"Secundaria (004)",7410,6287,479,335,309
"Superior no univ. incompleta (005)",1038,791,99,74,74
"Superior no univ. completa (006)",1639,987,203,194,255
"Superior univ. incompleta (007)",665,453,61,63,88
"Superior univ. completa (008)",1459,661,191,260,347
"De 06 a 14 años (010)",329,305,21,2,1
"Sin nivel (011)",10,10,,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",191,178,13,,
"Secundaria (014)",126,115,8,2,1
"De 15 a 29 años (020)",5698,4553,481,343,321
"Sin nivel (021)",59,53,4,,2
"Educación inicial (022)",4,4,,,
"Primaria (023)",960,891,55,9,5
"Secundaria (024)",3029,2569,220,140,100
"Superior no univ. incompleta (025)",492,373,56,33,30
"Superior no univ. completa (026)",573,334,81,81,77
"Superior univ. incompleta (027)",267,181,32,24,30
"Superior univ. completa (028)",314,148,33,56,77
"De 30 a 44 años (030)",6461,5028,477,440,516
"Sin nivel (031)",217,203,9,5,
"Educación inicial (032)",7,7,,,
"Primaria (033)",1620,1496,90,15,19
"Secundaria (034)",2593,2156,154,142,141
"Superior no univ. incompleta (035)",369,281,28,31,29
"Superior no univ. completa (036)",755,450,81,84,140
"Superior univ. incompleta (037)",231,150,20,26,35
"Superior univ. completa (038)",669,285,95,137,152
"De 45 a 64 años (040)",4910,4136,323,181,270
"Sin nivel (041)",416,399,15,1,1
"Primaria (043)",1968,1845,94,15,14
"Secundaria (044)",1486,1278,94,48,66
"Superior no univ. incompleta (045)",166,127,14,10,15
"Superior no univ. completa (046)",288,182,39,29,38
"Superior univ. incompleta (047)",154,112,8,13,21
"Superior univ. completa (048)",432,193,59,65,115
"De 65 y más años (050)",1563,1500,43,10,10
"Sin nivel (051)",313,301,10,2,
"Primaria (053)",983,954,22,3,4
"Secundaria (054)",176,169,3,3,1
"Superior no univ. incompleta (055)",11,10,1,,
"Superior no univ. completa (056)",23,21,2,,
"Superior univ. incompleta (057)",13,10,1,,2
"Superior univ. completa (058)",44,35,4,2,3
,,,,,
"URBANA (060)",11123,8869,899,545,810
