"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MANU (000)",10166,7090,1648,1144,284
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,,6,5,11
"Profes., científicos e intelectuales (002)",330,95,91,94,50
"Técnicos de nivel medio y trab. asimilados (003)",416,270,65,39,42
"Jefes y empleados de oficina (004)",173,72,30,25,46
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1876,1583,171,113,9
"Agricult.trabaj.calif.agrop.y pesqueros (006)",939,892,46,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1454,969,345,126,14
"Obreros construc.,conf.,papel, fab., instr. (008)",1022,762,73,146,41
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3372,2081,735,510,46
"Otra (010)",24,,,,24
"Ocupación no especificada (011)",538,366,86,85,1
"Hombres (012)",7279,4777,1342,944,216
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",16,,4,4,8
"Profes., científicos e intelectuales (014)",179,47,43,61,28
"Técnicos de nivel medio y trab. asimilados (015)",269,166,52,29,22
"Jefes y empleados de oficina (016)",104,38,17,15,34
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",547,499,29,15,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",835,796,38,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1354,902,318,120,14
"Obreros construc.,conf.,papel, fab., instr. (020)",1001,744,71,145,41
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2573,1352,706,475,40
"Otra (022)",24,,,,24
"Ocupación no especificada (023)",377,233,64,79,1
"Mujeres (024)",2887,2313,306,200,68
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,2,1,3
"Profes., científicos e intelectuales (026)",151,48,48,33,22
"Técnicos de nivel medio y trab. asimilados (027)",147,104,13,10,20
"Jefes y empleados de oficina (028)",69,34,13,10,12
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1329,1084,142,98,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",104,96,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",100,67,27,6,
"Obreros construc.,conf.,papel, fab., instr. (032)",21,18,2,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",799,729,29,35,6
