"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CALCA (000)",21690,18007,2008,950,725
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,1,4,7,26
"Profes., científicos e intelectuales (002)",1107,374,266,346,121
"Técnicos de nivel medio y trab. asimilados (003)",416,252,56,40,68
"Jefes y empleados de oficina (004)",250,46,25,53,126
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2434,2244,126,39,25
"Agricult.trabaj.calif.agrop.y pesqueros (006)",8053,7421,625,6,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",983,886,56,29,12
"Obreros construc.,conf.,papel, fab., instr. (008)",1771,1352,200,143,76
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5930,4886,596,261,187
"Otra (010)",74,,,,74
"Ocupación no especificada (011)",634,545,54,26,9
"Hombres (012)",15041,12363,1527,589,562
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,,3,7,21
"Profes., científicos e intelectuales (014)",533,158,145,155,75
"Técnicos de nivel medio y trab. asimilados (015)",251,155,40,24,32
"Jefes y empleados de oficina (016)",153,30,12,26,85
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",772,678,50,28,16
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7197,6615,577,4,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",649,577,40,21,11
"Obreros construc.,conf.,papel, fab., instr. (020)",1541,1137,193,135,76
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3521,2753,435,169,164
"Otra (022)",73,,,,73
"Ocupación no especificada (023)",320,260,32,20,8
"Mujeres (024)",6649,5644,481,361,163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,1,1,,5
"Profes., científicos e intelectuales (026)",574,216,121,191,46
"Técnicos de nivel medio y trab. asimilados (027)",165,97,16,16,36
"Jefes y empleados de oficina (028)",97,16,13,27,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1662,1566,76,11,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",856,806,48,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",334,309,16,8,1
"Obreros construc.,conf.,papel, fab., instr. (032)",230,215,7,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2409,2133,161,92,23
