"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",1,,,1,,
"Profes., científicos e intelectuales (093)",34,,4,19,11,
"Técnicos de nivel medio y trab.asimilados (094)",6,,1,3,2,
"Jefes y empleados de oficina (095)",8,,3,4,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",13,,2,8,2,1
"Agricult.trabaj. calif. agrop. y pesqueros (097)",553,,101,179,172,101
"Obreros y oper.minas, cant.,ind.manuf. y otros (098)",36,,15,5,10,6
"Obreros construc., conf., papel, fab., instr. (099)",41,,11,19,10,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (100)",383,36,162,96,68,21
"Ocupación no especificada (102)",9,,5,2,1,1
"Desocupado (103)",114,2,49,37,21,5
"Mujeres (104)",315,23,96,95,78,23
"Profes., científicos e intelectuales (106)",21,,8,12,1,
"Técnicos de nivel medio y trab.asimilados (107)",1,,,1,,
"Jefes y empleados de oficina (108)",8,,2,4,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (109)",31,,7,10,14,
"Agricult.trabaj. calif. agrop. y pesqueros (110)",73,3,21,20,21,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (113)",164,20,50,44,36,14
"Ocupación no especificada (115)",11,,3,4,3,1
"Desocupado (116)",6,,5,,1,
