"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5488,20,87,311,554,1025,2094,1397
"De 12 a 14 años (001)",10,,,,,,,10
"De 15 a 19 años (002)",180,,,,,,106,74
"De 20 a 24 años (003)",552,,,,,3,340,209
"De 25 a 29 años (004)",637,,,,,7,448,182
"De 30 a 34 años (005)",632,,,,,79,450,103
"De 35 a 39 años (006)",555,,,,4,117,369,65
"De 40 a 44 años (007)",507,,,,11,207,214,75
"De 45 a 49 años (008)",439,,,,27,209,139,64
"De 50 y más años (009)",1976,20,87,311,512,403,28,615
"Sin nivel (010)",2912,17,80,278,443,622,694,778
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",11,,,,,,7,4
"De 20 a 24 años (013)",60,,,,,,33,27
"De 25 a 29 años (014)",93,,,,,1,67,25
"De 30 a 34 años (015)",224,,,,,21,164,39
"De 35 a 39 años (016)",243,,,,,44,167,32
"De 40 a 44 años (017)",275,,,,4,92,132,47
"De 45 a 49 años (018)",298,,,,14,134,102,48
"De 50 y más años (019)",1707,17,80,278,425,330,22,555
"Educacion Inicial (020)",16,,,,,,9,7
"De 20 a 24 años (023)",5,,,,,,3,2
"De 25 a 29 años (024)",3,,,,,,,3
"De 30 a 34 años (025)",2,,,,,,2,
"De 35 a 39 años (026)",6,,,,,,4,2
"Primaria (030)",1413,3,5,20,67,255,784,279
"De 12 a 14 años (031)",6,,,,,,,6
"De 15 a 19 años (032)",87,,,,,,51,36
"De 20 a 24 años (033)",224,,,,,3,148,73
"De 25 a 29 años (034)",271,,,,,5,213,53
"De 30 a 34 años (035)",209,,,,,29,151,29
"De 35 a 39 años (036)",183,,,,2,46,123,12
"De 40 a 44 años (037)",151,,,,3,70,64,14
"De 45 a 49 años (038)",97,,,,7,49,30,11
"De 50 y más años (039)",185,3,5,20,55,53,4,45
"Secundaria (040)",678,,2,3,15,58,414,186
"De 12 a 14 años (041)",3,,,,,,,3
"De 15 a 19 años (042)",75,,,,,,43,32
"De 20 a 24 años (043)",203,,,,,,128,75
"De 25 a 29 años (044)",169,,,,,1,124,44
"De 30 a 34 años (045)",96,,,,,11,72,13
"De 35 a 39 años (046)",57,,,,1,14,34,8
"De 40 a 44 años (047)",30,,,,2,17,8,3
"De 45 a 49 años (048)",15,,,,3,5,4,3
"De 50 y más años (049)",30,,2,3,9,10,1,5
"Sup. no Univ. incompleta (050)",102,,,1,3,8,55,35
"De 15 a 19 años (052)",5,,,,,,3,2
"De 20 a 24 años (053)",24,,,,,,13,11
