"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMAS (000)",32666,2753,62,19639,7873,499,972,238,630
"Agric., ganadería, caza y silvicultura (001)",25091,2481,55,17152,5138,96,75,33,61
"Pesca (002)",3,1,,2,,,,,
"Explotación de minas y canteras (003)",4,,,,1,,,1,2
"Industrias manufactureras (004)",502,13,,211,214,19,23,4,18
"Suministro de electricidad, gas y agua (005)",39,1,,17,12,2,4,2,1
"Construcción (006)",739,5,1,249,379,45,31,15,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1702,33,3,674,750,59,101,30,52
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,,,12,41,6,16,,4
"Comercio al por mayor (009)",125,4,,42,57,4,12,3,3
"Comercio al por menor (010)",1498,29,3,620,652,49,73,27,45
"Hoteles y restaurantes (011)",459,16,1,211,180,19,21,6,5
"Trans., almac. y comunicaciones (012)",655,1,,156,372,55,43,9,19
"Intermediación financiera (013)",26,,,,1,2,6,5,12
"Activid.inmobil., empres. y de alquiler (014)",139,1,,17,39,14,23,7,38
"Admin.pub. y defensa; p. segur.soc.afil (015)",429,,,39,148,53,113,20,56
"Enseñanza (016)",848,,,1,73,67,422,49,236
"Servicios sociales y de salud (017)",215,,,13,30,21,71,25,55
"Otras activ. serv.comun.soc y personales (018)",179,5,,33,71,10,13,15,32
"Hogares privados con servicio doméstico (019)",944,95,1,498,303,21,8,5,13
"Actividad economica no especificada (021)",692,101,1,366,162,16,18,12,16
"Hombres (022)",23680,1293,37,14720,6168,329,564,167,402
"Agric., ganadería, caza y silvicultura (023)",19710,1256,33,13646,4531,87,68,32,57
"Pesca (024)",3,1,,2,,,,,
"Explotación de minas y canteras (025)",4,,,,1,,,1,2
"Industrias manufactureras (026)",368,4,,148,172,14,15,4,11
"Suministro de electricidad, gas y agua (027)",38,1,,17,12,2,3,2,1
"Construcción (028)",723,5,1,243,375,43,29,14,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",846,8,2,319,377,34,57,16,33
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,,,9,39,6,15,,4
"Comercio al por mayor (031)",60,2,,25,28,,3,1,1
"Comercio al por menor (032)",713,6,2,285,310,28,39,15,28
"Hoteles y restaurantes (033)",76,1,,28,30,5,4,5,3
"Trans., almac. y comunicaciones (034)",621,1,,152,364,49,32,8,15
"Intermediación financiera (035)",15,,,,1,1,4,2,7
"Activid.inmobil., empres. y de alquiler (036)",106,1,,15,29,10,17,4,30
"Admin.pub. y defensa; p. segur.soc.afil (037)",304,,,38,107,26,68,18,47
"Enseñanza (038)",448,,,1,39,36,217,31,124
"Servicios sociales y de salud (039)",102,,,8,18,10,31,14,21
"Otras activ. serv.comun.soc y personales (040)",130,2,,19,52,6,12,10,29
"Hogares privados con servicio doméstico (041)",35,7,,17,10,,,1,
"Actividad economica no especificada (043)",151,6,1,67,50,6,7,5,9
"Mujeres (044)",8986,1460,25,4919,1705,170,408,71,228
"Agric., ganadería, caza y silvicultura (045)",5381,1225,22,3506,607,9,7,1,4
