"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAROCHIRI (000)",69102,47675,21427
"Casa independiente (001)",63469,43493,19976
"Departamento en edificio (002)",605,605,
"Vivienda en quinta (003)",1444,1444,
"Vivienda en casa de vecindad (004)",1522,1522,
"Choza o cabaña (005)",1377,,1377
"Vivienda improvisada (006)",515,515,
"Local no dest.para hab. humana (007)",128,87,41
"Otro tipo (008)",42,9,33
