"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL CACERES (000)",383,16,200,103,54,10
"Sin nivel (001)",13,1,2,7,2,1
"Primaria (003)",137,10,60,37,24,6
"Secundaria (004)",178,5,112,37,22,2
"Superior no univ. incompleta (005)",20,,9,9,1,1
"Superior no univ. completa (006)",18,,14,3,1,
"Superior univ. incompleta (007)",3,,2,,1,
"Superior univ. completa (008)",14,,1,10,3,
"Hombres (010)",265,11,131,69,45,9
"Sin nivel (011)",5,1,1,2,1,
"Primaria (013)",99,5,45,24,19,6
"Secundaria (014)",124,5,69,28,20,2
"Superior no univ. incompleta (015)",15,,6,7,1,1
"Superior no univ. completa (016)",11,,9,1,1,
"Superior univ. incompleta (017)",2,,1,,1,
"Superior univ. completa (018)",9,,,7,2,
"Mujeres (020)",118,5,69,34,9,1
"Sin nivel (021)",8,,1,5,1,1
"Primaria (023)",38,5,15,13,5,
"Secundaria (024)",54,,43,9,2,
"Superior no univ. incompleta (025)",5,,3,2,,
"Superior no univ. completa (026)",7,,5,2,,
"Superior univ. incompleta (027)",1,,1,,,
"Superior univ. completa (028)",5,,1,3,1,
,,,,,,
"Area Urbana (030)",269,9,130,73,49,8
"Sin nivel (031)",5,1,1,1,2,
"Primaria (033)",75,3,24,21,22,5
"Secundaria (034)",140,5,84,30,19,2
"Superior no univ. incompleta (035)",17,,7,8,1,1
"Superior no univ. completa (036)",15,,11,3,1,
"Superior univ. incompleta (037)",3,,2,,1,
"Superior univ. completa (038)",14,,1,10,3,
"Hombres (040)",182,7,77,49,41,8
"Sin nivel (041)",2,1,,,1,
"Primaria (043)",50,1,14,13,17,5
"Secundaria (044)",97,5,50,22,18,2
"Superior no univ. incompleta (045)",12,,4,6,1,1
"Superior no univ. completa (046)",10,,8,1,1,
"Superior univ. incompleta (047)",2,,1,,1,
"Superior univ. completa (048)",9,,,7,2,
"Mujeres (050)",87,2,53,24,8,
"Sin nivel (051)",3,,1,1,1,
"Primaria (053)",25,2,10,8,5,
"Secundaria (054)",43,,34,8,1,
"Superior no univ. incompleta (055)",5,,3,2,,
"Superior no univ. completa (056)",5,,3,2,,
"Superior univ. incompleta (057)",1,,1,,,
"Superior univ. completa (058)",5,,1,3,1,
,,,,,,
"Area Rural (060)",114,7,70,30,5,2
"Sin nivel (061)",8,,1,6,,1
"Primaria (063)",62,7,36,16,2,1
"Secundaria (064)",38,,28,7,3,
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",3,,3,,,
"Hombres (070)",83,4,54,20,4,1
"Sin nivel (071)",3,,1,2,,
"Primaria (073)",49,4,31,11,2,1
"Secundaria (074)",27,,19,6,2,
"Superior no univ. incompleta (075)",3,,2,1,,
"Superior no univ. completa (076)",1,,1,,,
"Mujeres (080)",31,3,16,10,1,1
"Sin nivel (081)",5,,,4,,1
"Primaria (083)",13,3,5,5,,
"Secundaria (084)",11,,9,1,1,
"Superior no univ. completa (086)",2,,2,,,
