"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARTIN (000)",66729,47469,7215,5969,6076
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",156,14,48,33,61
"Profes., científicos e intelectuales (002)",5960,1467,995,1818,1680
"Técnicos de nivel medio y trab. asimilados (003)",3826,1791,548,676,811
"Jefes y empleados de oficina (004)",3703,944,540,810,1409
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",10737,9123,921,547,146
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10850,9841,952,48,9
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4758,3812,527,262,157
"Obreros construc.,conf.,papel, fab., instr. (008)",8056,6132,790,621,513
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16198,12998,1648,952,600
"Otra (010)",572,,,,572
"Ocupación no especificada (011)",1913,1347,246,202,118
"Hombres (012)",43908,30877,5182,3845,4004
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",116,10,30,22,54
"Profes., científicos e intelectuales (014)",3265,856,577,910,922
"Técnicos de nivel medio y trab. asimilados (015)",2403,1220,335,426,422
"Jefes y empleados de oficina (016)",1785,358,261,413,753
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",4708,3710,514,373,111
"Agricult.trabaj.calif.agrop.y pesqueros (018)",9711,8787,872,44,8
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3841,3036,452,224,129
"Obreros construc.,conf.,papel, fab., instr. (020)",7863,5988,773,605,497
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8696,6309,1216,711,460
"Otra (022)",556,,,,556
"Ocupación no especificada (023)",964,603,152,117,92
"Mujeres (024)",22821,16592,2033,2124,2072
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",40,4,18,11,7
"Profes., científicos e intelectuales (026)",2695,611,418,908,758
"Técnicos de nivel medio y trab. asimilados (027)",1423,571,213,250,389
"Jefes y empleados de oficina (028)",1918,586,279,397,656
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",6029,5413,407,174,35
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1139,1054,80,4,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",917,776,75,38,28
"Obreros construc.,conf.,papel, fab., instr. (032)",193,144,17,16,16
