"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia YUNGAY (000)",54963,54037,725,201
"Hombres (001)",27043,26726,229,88
"Mujeres (002)",27920,27311,496,113
"Menores de 1 año (003)",1040,866,127,47
"Hombres (004)",503,422,61,20
"Mujeres (005)",537,444,66,27
"De 1 a 5 años (006)",5979,5693,158,128
"Hombres (007)",3006,2875,69,62
"Mujeres (008)",2973,2818,89,66
"De 6 a 14 años (009)",12377,12328,39,10
"Hombres (010)",6222,6204,14,4
"Mujeres (011)",6155,6124,25,6
"De 15 a 29 años (012)",14497,14468,26,3
"Hombres (013)",7211,7205,5,1
"Mujeres (014)",7286,7263,21,2
"De 30 a 44 años (015)",9706,9671,33,2
"Hombres (016)",4681,4672,9,
"Mujeres (017)",5025,4999,24,2
"De 45 a 64 años (018)",7399,7298,96,5
"Hombres (019)",3551,3532,19,
"Mujeres (020)",3848,3766,77,5
"De 65 a más años (021)",3965,3713,246,6
"Hombres (022)",1869,1816,52,1
"Mujeres (023)",2096,1897,194,5
,,,,
"URBANA (024)",13268,13145,78,45
"Hombres (025)",6672,6627,26,19
"Mujeres (026)",6596,6518,52,26
"Menores de 1 año (027)",223,199,17,7
"Hombres (028)",105,88,12,5
"Mujeres (029)",118,111,5,2
"De 1 a 5 años (030)",1132,1080,20,32
"Hombres (031)",583,562,7,14
"Mujeres (032)",549,518,13,18
"De 6 a 14 años (033)",2423,2422,,1
"Hombres (034)",1256,1256,,
"Mujeres (035)",1167,1166,,1
"De 15 a 29 años (036)",3858,3856,2,
"Hombres (037)",2026,2025,1,
"Mujeres (038)",1832,1831,1,
"De 30 a 44 años (039)",2623,2621,2,
"Hombres (040)",1251,1250,1,
"Mujeres (041)",1372,1371,1,
"De 45 a 64 años (042)",1952,1943,6,3
"Hombres (043)",944,944,,
"Mujeres (044)",1008,999,6,3
"De 65 a más años (045)",1057,1024,31,2
"Hombres (046)",507,502,5,
"Mujeres (047)",550,522,26,2
,,,,
"RURAL (048)",41695,40892,647,156
"Hombres (049)",20371,20099,203,69
"Mujeres (050)",21324,20793,444,87
"Menores de 1 año (051)",817,667,110,40
"Hombres (052)",398,334,49,15
"Mujeres (053)",419,333,61,25
"De 1 a 5 años (054)",4847,4613,138,96
"Hombres (055)",2423,2313,62,48
"Mujeres (056)",2424,2300,76,48
"De 6 a 14 años (057)",9954,9906,39,9
"Hombres (058)",4966,4948,14,4
"Mujeres (059)",4988,4958,25,5
"De 15 a 29 años (060)",10639,10612,24,3
"Hombres (061)",5185,5180,4,1
"Mujeres (062)",5454,5432,20,2
"De 30 a 44 años (063)",7083,7050,31,2
"Hombres (064)",3430,3422,8,
"Mujeres (065)",3653,3628,23,2
"De 45 a 64 años (066)",5447,5355,90,2
"Hombres (067)",2607,2588,19,
"Mujeres (068)",2840,2767,71,2
"De 65 a más años (069)",2908,2689,215,4
"Hombres (070)",1362,1314,47,1
"Mujeres (071)",1546,1375,168,3
