"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOYOBAMBA (000)",114445,67462,46983
"Casa independiente (001)",106081,63390,42691
"Departamento en edificio (002)",344,344,
"Vivienda en quinta (003)",2731,2731,
"Vivienda en casa de vecindad (004)",652,652,
"Choza o cabaña (005)",4263,,4263
"Vivienda improvisada (006)",276,276,
"Local no dest.para hab. humana (007)",80,55,25
"Otro tipo (008)",18,14,4
