"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUALGAYOC (000)",88199,19077,69122
"Casa independiente (001)",85654,17991,67663
"Departamento en edificio (002)",179,179,
"Vivienda en quinta (003)",331,331,
"Vivienda en casa de vecindad (004)",562,562,
"Choza o cabaña (005)",1459,,1459
"Vivienda improvisada (006)",3,3,
"Local no dest.para hab. humana (007)",7,7,
"Otro tipo (008)",4,4,
