"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASMA (000)",15974,11165,1651,1513,1645
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",30,1,8,7,14
"Profes., científicos e intelectuales (002)",1002,245,170,362,225
"Técnicos de nivel medio y trab. asimilados (003)",433,239,43,42,109
"Jefes y empleados de oficina (004)",545,132,62,56,295
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2126,1886,134,43,63
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2530,2193,163,71,103
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1029,606,77,108,238
"Obreros construc.,conf.,papel, fab., instr. (008)",1987,1549,191,126,121
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6059,4159,794,686,420
"Otra (010)",47,,,,47
"Ocupación no especificada (011)",186,155,9,12,10
"Hombres (012)",11439,8288,1212,967,972
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",23,1,5,5,12
"Profes., científicos e intelectuales (014)",486,113,76,174,123
"Técnicos de nivel medio y trab. asimilados (015)",265,164,24,30,47
"Jefes y empleados de oficina (016)",251,52,29,25,145
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",903,749,78,31,45
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2352,2079,148,50,75
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",714,508,51,71,84
"Obreros construc.,conf.,papel, fab., instr. (020)",1960,1530,189,124,117
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4381,3048,609,447,277
"Otra (022)",45,,,,45
"Ocupación no especificada (023)",59,44,3,10,2
"Mujeres (024)",4535,2877,439,546,673
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,3,2,2
"Profes., científicos e intelectuales (026)",516,132,94,188,102
"Técnicos de nivel medio y trab. asimilados (027)",168,75,19,12,62
"Jefes y empleados de oficina (028)",294,80,33,31,150
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1223,1137,56,12,18
"Agricult.trabaj.calif.agrop.y pesqueros (030)",178,114,15,21,28
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",315,98,26,37,154
"Obreros construc.,conf.,papel, fab., instr. (032)",27,19,2,2,4
