"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PIURA (000)",226138,67601,45052,88942,4657,12086,7800
"Agric., ganadería, caza y silvicultura (001)",50898,539,21563,20428,1390,6978,
"Pesca (002)",1488,200,993,232,40,23,
"Explotación de minas y canteras (003)",739,411,278,41,8,1,
"Industrias manufactureras (004)",16018,1714,5948,7597,453,306,
"Suministro de electricidad, gas y agua (005)",878,391,380,99,3,5,
"Construcción (006)",12312,832,7454,3689,244,93,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",46386,11865,1516,28588,1292,3125,
"Venta, mant.y rep. veh.autom.y motoc. (008)",4456,830,899,2465,190,72,
"Comercio al por mayor (009)",3019,1559,210,1004,102,144,
"Comercio al por menor (010)",38911,9476,407,25119,1000,2909,
"Hoteles y restaurantes (011)",10560,3791,597,5357,371,444,
"Trans., almac. y comunicaciones (012)",21763,4993,2227,14093,269,181,
"Intermediación financiera (013)",1809,1746,7,39,15,2,
"Activid.inmobil., empres. y alquileres (014)",13643,10025,1040,2252,258,68,
"Admin.pub. y defensa; p. segur.soc.afil (015)",8074,7268,806,,,,
"Enseñanza (016)",15081,13691,28,1264,57,41,
"Servicios sociales y de salud (017)",5147,4493,65,541,38,10,
"Otras activ. serv.comun.soc y personales (018)",7148,3270,655,2969,116,138,
"Hogares privados con servicio doméstico (019)",7800,,,,,,7800
"Organiz. y organos extraterritoriales (020)",2,2,,,,,
"Actividad economica no especificada (021)",6392,2370,1495,1753,103,671,
"Hombres (022)",153613,37611,39734,64947,3467,7613,241
"Agric., ganadería, caza y silvicultura (023)",47262,459,19984,19650,1325,5844,
"Pesca (024)",1348,149,917,220,40,22,
"Explotación de minas y canteras (025)",662,340,272,41,8,1,
"Industrias manufactureras (026)",10819,1129,4126,5034,345,185,
"Suministro de electricidad, gas y agua (027)",773,314,365,88,2,4,
"Construcción (028)",11952,701,7301,3621,238,91,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",26075,6450,1456,16521,779,869,
"Venta, mant.y rep. veh.autom.y motoc. (030)",4134,621,886,2396,177,54,
"Comercio al por mayor (031)",1921,978,197,616,76,54,
"Comercio al por menor (032)",20020,4851,373,13509,526,761,
"Hoteles y restaurantes (033)",3361,1684,289,1132,139,117,
"Trans., almac. y comunicaciones (034)",20507,4106,2165,13849,241,146,
"Intermediación financiera (035)",1004,968,6,16,12,2,
"Activid.inmobil., empres. y alquileres (036)",9629,6852,806,1745,186,40,
"Admin.pub. y defensa; p. segur.soc.afil (037)",5507,5040,467,,,,
"Enseñanza (038)",5740,5133,22,546,20,19,
"Servicios sociales y de salud (039)",1832,1506,39,261,21,5,
"Otras activ. serv.comun.soc y personales (040)",3905,1807,495,1457,64,82,
"Hogares privados con servicio doméstico (041)",241,,,,,,241
"Organiz. y organos extraterritoriales (042)",1,1,,,,,
"Actividad economica no especificada (043)",2995,972,1024,766,47,186,
"Mujeres (044)",72525,29990,5318,23995,1190,4473,7559
"Agric., ganadería, caza y silvicultura (045)",3636,80,1579,778,65,1134,
"Pesca (046)",140,51,76,12,,1,
"Explotación de minas y canteras (047)",77,71,6,,,,
"Industrias manufactureras (048)",5199,585,1822,2563,108,121,
"Suministro de electricidad, gas y agua (049)",105,77,15,11,1,1,
"Construcción (050)",360,131,153,68,6,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",20311,5415,60,12067,513,2256,
"Venta, mant.y rep. veh.autom.y motoc. (052)",322,209,13,69,13,18,
"Comercio al por mayor (053)",1098,581,13,388,26,90,
"Comercio al por menor (054)",18891,4625,34,11610,474,2148,
"Hoteles y restaurantes (055)",7199,2107,308,4225,232,327,
"Trans., almac. y comunicaciones (056)",1256,887,62,244,28,35,
"Intermediación financiera (057)",805,778,1,23,3,,
"Activid.inmobil., empres. y alquileres (058)",4014,3173,234,507,72,28,
"Admin.pub. y defensa; p. segur.soc.afil (059)",2567,2228,339,,,,
"Enseñanza (060)",9341,8558,6,718,37,22,
"Servicios sociales y de salud (061)",3315,2987,26,280,17,5,
"Otras activ. serv.comun.soc y personales (062)",3243,1463,160,1512,52,56,
"Hogares privados con servicio doméstico (063)",7559,,,,,,7559
"Organiz. y organos extraterritoriales (064)",1,1,,,,,
"Actividad economica no especificada (065)",3397,1398,471,987,56,485,
,,,,,,,
"URBANA (066)",197951,66623,31864,78982,4022,8990,7470
"Agric., ganadería, caza y silvicultura (067)",27643,494,9173,12962,814,4200,
"Pesca (068)",1431,200,947,222,39,23,
"Explotación de minas y canteras (069)",709,406,258,38,6,1,
"Industrias manufactureras (070)",15659,1693,5795,7426,447,298,
"Suministro de electricidad, gas y agua (071)",867,386,375,98,3,5,
"Construcción (072)",12061,828,7295,3610,241,87,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",44982,11707,1487,27468,1275,3045,
"Venta, mant.y rep. veh.autom.y motoc. (074)",4379,824,881,2415,188,71,
"Comercio al por mayor (075)",2969,1548,207,979,98,137,
"Comercio al por menor (076)",37634,9335,399,24074,989,2837,
"Hoteles y restaurantes (077)",10333,3758,590,5185,370,430,
"Trans., almac. y comunicaciones (078)",21083,4934,2154,13568,258,169,
"Intermediación financiera (079)",1805,1742,7,39,15,2,
"Activid.inmobil., empres. y alquileres (080)",13482,9923,1004,2232,256,67,
"Admin.pub. y defensa; p. segur.soc.afil (081)",7995,7202,793,,,,
"Enseñanza (082)",14763,13409,28,1231,56,39,
"Servicios sociales y de salud (083)",5063,4427,64,525,38,9,
"Otras activ. serv.comun.soc y personales (084)",7013,3219,621,2929,116,128,
"Hogares privados con servicio doméstico (085)",7470,,,,,,7470
"Organiz. y organos extraterritoriales (086)",1,1,,,,,
"Actividad economica no especificada (087)",5591,2294,1273,1449,88,487,
"Hombres (088)",128304,37010,27137,55995,2866,5067,229
"Agric., ganadería, caza y silvicultura (089)",24994,417,8058,12343,767,3409,
"Pesca (090)",1293,149,872,211,39,22,
"Explotación de minas y canteras (091)",633,336,252,38,6,1,
"Industrias manufactureras (092)",10555,1110,4001,4921,341,182,
"Suministro de electricidad, gas y agua (093)",763,309,361,87,2,4,
"Construcción (094)",11705,698,7145,3542,235,85,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",25126,6343,1427,15751,764,841,
"Venta, mant.y rep. veh.autom.y motoc. (096)",4059,616,868,2347,175,53,
"Comercio al por mayor (097)",1886,973,194,597,72,50,
"Comercio al por menor (098)",19181,4754,365,12807,517,738,
"Hoteles y restaurantes (099)",3331,1672,285,1120,139,115,
"Trans., almac. y comunicaciones (100)",19839,4054,2093,13326,230,136,
"Intermediación financiera (101)",1001,965,6,16,12,2,
"Activid.inmobil., empres. y alquileres (102)",9489,6764,773,1728,184,40,
"Admin.pub. y defensa; p. segur.soc.afil (103)",5447,4991,456,,,,
"Enseñanza (104)",5594,5003,22,531,20,18,
