"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PISCO (000)",35581,30703,4878
"Casa independiente (001)",27523,23362,4161
"Departamento en edificio (002)",275,275,
"Vivienda en quinta (003)",312,312,
"Vivienda en casa de vecindad (004)",202,202,
"Choza o cabaña (005)",660,,660
"Vivienda improvisada (006)",6396,6396,
"Local no dest.para hab. humana (007)",43,41,2
"Otro tipo (008)",170,115,55
