"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUPACA (000)",50902,30381,20521
"Casa independiente (001)",49725,29675,20050
"Departamento en edificio (002)",81,81,
"Vivienda en quinta (003)",315,315,
"Vivienda en casa de vecindad (004)",240,240,
"Choza o cabaña (005)",465,,465
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",70,64,6
"Otro tipo (008)",1,1,
