"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LIMA (000)",3286770,1415612,504127,1069703,71884,71527,153917
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",10875,8254,,,2621,,
"Profes., científicos e intelectuales (002)",424336,332645,,78700,11901,1026,64
"Técnicos de nivel medio y trab. asimilados (003)",341707,242752,,79476,16765,1486,1228
"Jefes y empleados de oficina (004)",261233,259578,,558,7,1090,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",636624,268271,6669,303136,16476,41342,730
"Agricult.trabaj.calif.agrop.y pesqueros (006)",17465,149,458,15485,1369,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",419426,,212663,188688,12612,5463,
"Obreros construc.,conf.,papel, fab., instr. (008)",390257,52872,127944,201473,5912,1974,82
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",624586,154809,128330,173498,2099,14037,151813
"Otra (010)",47790,47790,,,,,
"Ocupación no especificada (011)",112471,48492,28063,28689,2122,5105,
"Hombres (012)",1947635,770266,408539,688283,48095,25207,7245
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",7156,5404,,,1752,,
"Profes., científicos e intelectuales (014)",209926,152758,,47913,8769,481,5
"Técnicos de nivel medio y trab. asimilados (015)",194966,129965,,53164,11054,757,26
"Jefes y empleados de oficina (016)",125432,124849,,191,3,389,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",300930,145338,3366,135108,8349,8749,20
"Agricult.trabaj.calif.agrop.y pesqueros (018)",14110,136,424,12435,1111,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",316917,,158446,145376,9612,3483,
"Obreros construc.,conf.,papel, fab., instr. (020)",366514,51725,118396,189437,5330,1544,82
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",299317,90513,106228,87147,866,7451,7112
"Otra (022)",42382,42382,,,,,
"Ocupación no especificada (023)",69985,27196,21679,17512,1249,2349,
"Mujeres (024)",1339135,645346,95588,381420,23789,46320,146672
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3719,2850,,,869,,
"Profes., científicos e intelectuales (026)",214410,179887,,30787,3132,545,59
"Técnicos de nivel medio y trab. asimilados (027)",146741,112787,,26312,5711,729,1202
"Jefes y empleados de oficina (028)",135801,134729,,367,4,701,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",335694,122933,3303,168028,8127,32593,710
"Agricult.trabaj.calif.agrop.y pesqueros (030)",3355,13,34,3050,258,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",102509,,54217,43312,3000,1980,
"Obreros construc.,conf.,papel, fab., instr. (032)",23743,1147,9548,12036,582,430,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",325269,64296,22102,86351,1233,6586,144701
"Otra (034)",5408,5408,,,,,
"Ocupación no especificada (035)",42486,21296,6384,11177,873,2756,
,,,,,,,
"URBANA (036)",3282559,1415201,502690,1067973,71814,71062,153819
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",10873,8253,,,2620,,
"Profes., científicos e intelectuales (038)",424229,332566,,78679,11894,1026,64
"Técnicos de nivel medio y trab. asimilados (039)",341614,242696,,79448,16758,1485,1227
"Jefes y empleados de oficina (040)",261183,259529,,558,7,1089,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",636278,268203,6658,302905,16470,41313,729
"Agricult.trabaj.calif.agrop.y pesqueros (042)",16477,146,442,14556,1329,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",419178,,212511,188599,12608,5460,
"Obreros construc.,conf.,papel, fab., instr. (044)",389735,52839,127741,201193,5908,1972,82
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",622830,154710,127320,173364,2099,13620,151717
"Otra (046)",47778,47778,,,,,
"Ocupación no especificada (047)",112384,48481,28018,28671,2121,5093,
"Hombres (048)",1944637,770019,407412,686965,48040,24966,7235
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",7155,5403,,,1752,,
"Profes., científicos e intelectuales (050)",209884,152732,,47902,8764,481,5
"Técnicos de nivel medio y trab. asimilados (051)",194907,129929,,53145,11051,756,26
"Jefes y empleados de oficina (052)",125406,124823,,191,3,389,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",300795,145300,3362,135031,8346,8737,19
"Agricult.trabaj.calif.agrop.y pesqueros (054)",13265,133,409,11644,1075,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",316731,,158341,145301,9608,3481,
"Obreros construc.,conf.,papel, fab., instr. (056)",366013,51693,118204,189166,5326,1542,82
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",298180,90444,105449,87085,866,7233,7103
"Otra (058)",42371,42371,,,,,
"Ocupación no especificada (059)",69930,27191,21647,17500,1249,2343,
"Mujeres (060)",1337922,645182,95278,381008,23774,46096,146584
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3718,2850,,,868,,
"Profes., científicos e intelectuales (062)",214345,179834,,30777,3130,545,59
"Técnicos de nivel medio y trab. asimilados (063)",146707,112767,,26303,5707,729,1201
"Jefes y empleados de oficina (064)",135777,134706,,367,4,700,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",335483,122903,3296,167874,8124,32576,710
"Agricult.trabaj.calif.agrop.y pesqueros (066)",3212,13,33,2912,254,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",102447,,54170,43298,3000,1979,
"Obreros construc.,conf.,papel, fab., instr. (068)",23722,1146,9537,12027,582,430,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",324650,64266,21871,86279,1233,6387,144614
"Otra (070)",5407,5407,,,,,
"Ocupación no especificada (071)",42454,21290,6371,11171,872,2750,
,,,,,,,
"RURAL (072)",4211,411,1437,1730,70,465,98
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",2,1,,,1,,
"Profes., científicos e intelectuales (074)",107,79,,21,7,,
"Técnicos de nivel medio y trab. asimilados (075)",93,56,,28,7,1,1
"Jefes y empleados de oficina (076)",50,49,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",346,68,11,231,6,29,1
"Agricult.trabaj.calif.agrop.y pesqueros (078)",988,3,16,929,40,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",248,,152,89,4,3,
"Obreros construc.,conf.,papel, fab., instr. (080)",522,33,203,280,4,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1756,99,1010,134,,417,96
"Otra (082)",12,12,,,,,
"Ocupación no especificada (083)",87,11,45,18,1,12,
"Hombres (084)",2998,247,1127,1318,55,241,10
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",42,26,,11,5,,
"Técnicos de nivel medio y trab. asimilados (087)",59,36,,19,3,1,
"Jefes y empleados de oficina (088)",26,26,,,,,
