"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTA (000)",144012,90576,15391,16458,21587
"Agric., ganadería, caza y silvicultura (001)",17856,12635,2501,1414,1306
"Pesca (002)",5238,1939,850,1527,922
"Explotación de minas y canteras (003)",337,68,56,62,151
"Industrias manufactureras (004)",17414,7005,1839,2558,6012
"Suministro de electricidad, gas y agua (005)",488,89,40,223,136
"Construcción (006)",9941,6431,1612,1276,622
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32462,28494,2209,1271,488
"Venta, mant.y rep. veh.autom y motoc. (008)",3892,2660,624,346,262
"Comercio al por mayor (009)",1529,792,222,289,226
"Comercio al por menor (010)",27041,25042,1363,636,
"Hoteles y restaurantes (011)",7734,6598,742,298,96
"Trans., almac. y comunicaciones (012)",14181,10885,1090,1127,1079
"Intermediación financiera (013)",737,150,65,380,142
"Activid.inmobil., empres. y alquileres (014)",9603,4915,1397,1666,1625
"Admin.pub. y defensa; p. segur soc.afil (015)",3974,,,,3974
"Enseñanza (016)",8559,1439,1561,3481,2078
"Servicios sociales y de salud (017)",3212,906,222,223,1861
"Otras activ. serv.comun.soc y personales (018)",5165,3589,708,510,358
"Hogares privados con servicio doméstico (019)",3164,3164,,,
"Organiz. y organos extraterritoriales (020)",2,,1,1,
"Actividad economica no especificada (021)",3945,2269,498,441,737
"Hombres (022)",95127,58452,11345,11306,14024
"Agric., ganadería, caza y silvicultura (023)",15402,11296,2029,994,1083
"Pesca (024)",4902,1866,814,1461,761
"Explotación de minas y canteras (025)",326,67,56,58,145
"Industrias manufactureras (026)",12371,5230,1574,1996,3571
"Suministro de electricidad, gas y agua (027)",435,82,39,196,118
"Construcción (028)",9688,6322,1574,1223,569
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",17040,14277,1458,879,426
"Venta, mant.y rep. veh.autom y motoc. (030)",3685,2516,589,323,257
"Comercio al por mayor (031)",976,458,138,211,169
"Comercio al por menor (032)",12379,11303,731,345,
"Hoteles y restaurantes (033)",2160,1654,322,139,45
"Trans., almac. y comunicaciones (034)",12808,9867,968,991,982
"Intermediación financiera (035)",406,82,42,198,84
"Activid.inmobil., empres. y alquileres (036)",6977,3598,995,1187,1197
"Admin.pub. y defensa; p. segur soc.afil (037)",2703,,,,2703
