"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ICA (000)",150792,75964,9619,1910,58075,2222,36,388,10,2568
"Hombres (001)",55319,36997,5601,925,9181,1038,26,203,10,1338
"Mujeres (002)",95473,38967,4018,985,48894,1184,10,185,,1230
"De 06 a 14 años (003)",52222,49726,,,1630,441,2,43,,380
"Hombres (004)",26323,25066,,,797,245,1,18,,196
"Mujeres (005)",25899,24660,,,833,196,1,25,,184
"De 15 a 29 años (006)",43582,25462,60,405,16701,,19,98,10,827
"Hombres (007)",15323,11679,30,174,2966,,13,50,10,401
"Mujeres (008)",28259,13783,30,231,13735,,6,48,,426
"De 30 a 44 años (009)",16905,611,115,339,15278,,5,111,,446
"Hombres (010)",2210,206,42,134,1519,,4,58,,247
"Mujeres (011)",14695,405,73,205,13759,,1,53,,199
"De 45 a 64 años (012)",18876,147,2423,495,15263,28,9,73,,438
"Hombres (013)",3556,40,1121,242,1836,13,7,47,,250
"Mujeres (014)",15320,107,1302,253,13427,15,2,26,,188
"De 65 y más años (015)",19207,18,7021,671,9203,1753,1,63,,477
"Hombres (016)",7907,6,4408,375,2063,780,1,30,,244
"Mujeres (017)",11300,12,2613,296,7140,973,,33,,233
,,,,,,,,,,
"AREA URBANA (018)",138308,70212,8683,1717,52804,2093,34,339,9,2417
"Hombres (019)",51047,34161,4978,809,8657,976,24,181,9,1252
"Mujeres (020)",87261,36051,3705,908,44147,1117,10,158,,1165
"De 06 a 14 años (021)",48031,45689,,,1532,412,2,36,,360
"Hombres (022)",24204,23025,,,747,231,1,17,,183
"Mujeres (023)",23827,22664,,,785,181,1,19,,177
"De 15 a 29 años (024)",40382,23785,59,371,15271,,18,91,9,778
"Hombres (025)",14341,10897,30,156,2809,,12,47,9,381
"Mujeres (026)",26041,12888,29,215,12462,,6,44,,397
"De 30 a 44 años (027)",15418,581,112,322,13889,,4,93,,417
"Hombres (028)",2088,195,41,124,1451,,3,47,,227
"Mujeres (029)",13330,386,71,198,12438,,1,46,,190
"De 45 a 64 años (030)",17171,140,2266,446,13811,24,9,64,,411
"Hombres (031)",3319,38,1038,211,1738,11,7,43,,233
"Mujeres (032)",13852,102,1228,235,12073,13,2,21,,178
"De 65 y más años (033)",17306,17,6246,578,8301,1657,1,55,,451
"Hombres (034)",7095,6,3869,318,1912,734,1,27,,228
"Mujeres (035)",10211,11,2377,260,6389,923,,28,,223
,,,,,,,,,,
"AREA RURAL (036)",12484,5752,936,193,5271,129,2,49,1,151
"Hombres (037)",4272,2836,623,116,524,62,2,22,1,86
"Mujeres (038)",8212,2916,313,77,4747,67,,27,,65
"De 06 a 14 años (039)",4191,4037,,,98,29,,7,,20
"Hombres (040)",2119,2041,,,50,14,,1,,13
"Mujeres (041)",2072,1996,,,48,15,,6,,7
"De 15 a 29 años (042)",3200,1677,1,34,1430,,1,7,1,49
"Hombres (043)",982,782,,18,157,,1,3,1,20
"Mujeres (044)",2218,895,1,16,1273,,,4,,29
"De 30 a 44 años (045)",1487,30,3,17,1389,,1,18,,29
"Hombres (046)",122,11,1,10,68,,1,11,,20
"Mujeres (047)",1365,19,2,7,1321,,,7,,9
"De 45 a 64 años (048)",1705,7,157,49,1452,4,,9,,27
"Hombres (049)",237,2,83,31,98,2,,4,,17
"Mujeres (050)",1468,5,74,18,1354,2,,5,,10
"De 65 y más años (051)",1901,1,775,93,902,96,,8,,26
"Hombres (052)",812,,539,57,151,46,,3,,16
"Mujeres (053)",1089,1,236,36,751,50,,5,,10
