"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TALARA (000)",31426,30626,800
"Casa independiente (001)",30493,29856,637
"Departamento en edificio (002)",331,331,
"Vivienda en quinta (003)",35,35,
"Vivienda en casa de vecindad (004)",92,92,
"Choza o cabaña (005)",162,,162
"Vivienda improvisada (006)",250,250,
"Local no dest.para hab. humana (007)",53,53,
"Otro tipo (008)",10,9,1
