"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMBAYEQUE (000)",65448,60938,207,11385,11231,9553,13381,8015,4648,2518,4510,239808
"De 12 a 14 años (001)",79,36,3,27,6,,,,,,43,39
"De 15 a 19 años (002)",1785,1527,12,1285,207,19,4,,,,258,1772
"De 20 a 24 años (003)",6862,5560,25,3194,1645,534,150,12,,,1302,8789
"De 25 a 29 años (004)",8220,7160,23,2216,2423,1462,957,76,3,,1060,16032
"De 30 a 34 años (005)",8364,7777,14,1434,2116,1871,1924,360,53,5,587,22379
"De 35 a 39 años (006)",7742,7356,15,853,1510,1577,2372,808,178,43,386,26138
"De 40 a 44 años (007)",6865,6638,20,668,1055,1298,2037,1099,361,100,227,26805
"De 45 a 49 años (008)",6064,5854,17,478,796,921,1691,1147,605,199,210,27012
"De 50 y más años (009)",19467,19030,78,1230,1473,1871,4246,4513,3448,2171,437,110842
"Conviviente (010)",22333,21744,85,5153,4881,3472,4307,2232,1097,517,589,73509
"De 12 a 14 años (011)",58,22,,18,4,,,,,,36,26
"De 15 a 19 años (012)",1296,1085,10,894,167,11,3,,,,211,1273
"De 20 a 24 años (013)",3461,3285,14,1880,1001,302,81,7,,,176,5169
"De 25 a 29 años (014)",3767,3678,9,1098,1340,731,456,43,1,,89,8186
"De 30 a 34 años (015)",3456,3422,5,515,993,836,870,168,31,4,34,10130
"De 35 a 39 años (016)",2839,2820,8,273,571,605,908,349,81,25,19,10428
"De 40 a 44 años (017)",2245,2242,9,162,338,414,692,417,171,39,3,9675
"De 45 a 49 años (018)",1677,1673,10,99,203,248,468,366,208,71,4,8218
"De 50 y más años (019)",3534,3517,20,214,264,325,829,882,605,378,17,20404
"Separado(a) (020)",4960,4892,22,1879,1033,634,763,335,150,76,68,13429
