"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CANGALLO (000)",9745,1031,967,5048,128,2115,45,411
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,23,,,2,,,
"Profes., científicos e intelectuales (002)",606,518,,86,1,1,,
"Técnicos de nivel medio y trab. asimilados (003)",136,100,,25,9,2,,
"Jefes y empleados de oficina (004)",140,140,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",516,60,2,356,17,81,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4155,,,4079,76,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",203,,106,89,3,5,,
"Obreros construc.,conf.,papel, fab., instr. (008)",244,32,126,67,11,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",2813,66,672,135,4,1891,45,
"Otra (010)",30,30,,,,,,
"Ocupación no especificada (011)",466,62,61,211,5,127,,
"Desocupado (012)",411,,,,,,,411
"Hombres (013)",6375,654,834,3655,88,790,5,349
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",18,16,,,2,,,
"Profes., científicos e intelectuales (015)",359,306,,52,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",78,56,,14,8,,,
"Jefes y empleados de oficina (017)",103,103,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",178,35,1,114,6,22,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3262,,,3207,55,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",181,,102,74,2,3,,
"Obreros construc.,conf.,papel, fab., instr. (021)",237,32,123,63,11,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1382,43,561,44,1,728,5,
"Otra (023)",29,29,,,,,,
"Ocupación no especificada (024)",199,34,47,87,2,29,,
"Desocupado (025)",349,,,,,,,349
"Mujeres (026)",3370,377,133,1393,40,1325,40,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,7,,,,,,
"Profes., científicos e intelectuales (028)",247,212,,34,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",58,44,,11,1,2,,
"Jefes y empleados de oficina (030)",37,37,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",338,25,1,242,11,59,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",893,,,872,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",22,,4,15,1,2,,
"Obreros construc.,conf.,papel, fab., instr. (034)",7,,3,4,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1431,23,111,91,3,1163,40,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",267,28,14,124,3,98,,
"Desocupado (038)",62,,,,,,,62
,,,,,,,,
"URBANA (039)",3677,807,291,1848,41,543,22,125
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",20,18,,,2,,,
"Profes., científicos e intelectuales (041)",468,423,,44,1,,,
"Técnicos de nivel medio y trab. asimilados (042)",98,76,,16,4,2,,
"Jefes y empleados de oficina (043)",123,123,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",345,36,1,243,4,61,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1271,,,1251,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",90,,28,58,2,2,,
"Obreros construc.,conf.,papel, fab., instr. (047)",134,15,64,44,6,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",769,52,179,84,1,431,22,
"Otra (049)",29,29,,,,,,
"Ocupación no especificada (050)",205,35,19,108,1,42,,
"Desocupado (051)",125,,,,,,,125
"Hombres (052)",2372,492,241,1309,30,202,4,94
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",15,13,,,2,,,
"Profes., científicos e intelectuales (054)",261,240,,20,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",54,38,,12,4,,,
"Jefes y empleados de oficina (056)",91,91,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",111,17,1,75,1,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1060,,,1045,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",79,,26,51,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (060)",127,15,61,40,6,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",362,33,136,22,,167,4,
"Otra (062)",28,28,,,,,,
"Ocupación no especificada (063)",90,17,17,44,,12,,
"Desocupado (064)",94,,,,,,,94
"Mujeres (065)",1305,315,50,539,11,341,18,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",5,5,,,,,,
"Profes., científicos e intelectuales (067)",207,183,,24,,,,
"Técnicos de nivel medio y trab. asimilados (068)",44,38,,4,,2,,
"Jefes y empleados de oficina (069)",32,32,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",234,19,,168,3,44,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",211,,,206,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",11,,2,7,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (073)",7,,3,4,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",407,19,43,62,1,264,18,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",115,18,2,64,1,30,,
"Desocupado (077)",31,,,,,,,31
,,,,,,,,
"RURAL (078)",6068,224,676,3200,87,1572,23,286
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",5,5,,,,,,
"Profes., científicos e intelectuales (080)",138,95,,42,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",38,24,,9,5,,,
"Jefes y empleados de oficina (082)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",171,24,1,113,13,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2884,,,2828,56,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",113,,78,31,1,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",110,17,62,23,5,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",2044,14,493,51,3,1460,23,
"Otra (088)",1,1,,,,,,
"Ocupación no especificada (089)",261,27,42,103,4,85,,
"Desocupado (090)",286,,,,,,,286
"Hombres (091)",4003,162,593,2346,58,588,1,255
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",98,66,,32,,,,
"Técnicos de nivel medio y trab. asimilados (094)",24,18,,2,4,,,
"Jefes y empleados de oficina (095)",12,12,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",67,18,,39,5,5,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2202,,,2162,40,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",102,,76,23,1,2,,
