"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GRAU (000)",6462,6290,31,937,919,899,1591,1190,558,165,172,26678
"De 12 a 14 años (001)",8,5,,5,,,,,,,3,5
"De 15 a 19 años (002)",179,161,2,131,24,3,1,,,,18,192
"De 20 a 24 años (003)",541,499,2,277,170,42,8,,,,42,778
"De 25 a 29 años (004)",678,638,1,177,210,168,78,4,,,40,1457
"De 30 a 34 años (005)",699,678,2,92,161,155,222,44,1,1,21,2147
"De 35 a 39 años (006)",677,667,,40,79,122,265,126,33,2,10,2849
"De 40 a 44 años (007)",617,610,2,35,39,67,188,187,79,13,7,3158
"De 45 a 49 años (008)",556,551,2,31,36,54,150,159,97,22,5,3029
"De 50 y más años (009)",2507,2481,20,149,200,288,679,670,348,127,26,13063
"Sin nivel (010)",2573,2537,16,170,230,296,739,673,318,95,36,12849
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",12,12,,9,2,,1,,,,,17
"De 20 a 24 años (013)",51,48,,17,20,9,2,,,,3,93
"De 25 a 29 años (014)",70,67,,6,26,21,13,1,,,3,185
"De 30 a 34 años (015)",102,99,,6,12,18,47,15,,1,3,398
"De 35 a 39 años (016)",166,163,,3,7,15,77,45,14,2,3,829
"De 40 a 44 años (017)",182,180,1,10,5,10,54,64,31,5,2,1016
"De 45 a 49 años (018)",204,203,1,12,9,13,46,69,42,11,1,1195
"De 50 y más años (019)",1785,1764,14,106,149,210,499,479,231,76,21,9115
"Educacion Inicial (020)",12,12,,3,,3,3,3,,,,45
"De 20 a 24 años (023)",2,2,,2,,,,,,,,2
"De 25 a 29 años (024)",3,3,,1,,1,,1,,,,10
