"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANTA (000)",22710,113,376,974,2030,3837,9576,5804
"De 12 a 14 años (001)",38,,,,,,7,31
"De 15 a 19 años (002)",944,,,,,,619,325
"De 20 a 24 años (003)",2696,,,,,10,1708,978
"De 25 a 29 años (004)",2967,,,,,125,2049,793
"De 30 a 34 años (005)",2841,,,,4,366,1925,546
"De 35 a 39 años (006)",2507,,,,11,574,1513,409
"De 40 a 44 años (007)",2277,,,,75,714,1097,391
"De 45 a 49 años (008)",1872,,,5,201,795,551,320
"De 50 y más años (009)",6568,113,376,969,1739,1253,107,2011
"Conviviente (010)",6244,3,9,29,101,616,3948,1538
"De 12 a 14 años (011)",25,,,,,,4,21
"De 15 a 19 años (012)",639,,,,,,420,219
"De 20 a 24 años (013)",1603,,,,,6,1125,472
"De 25 a 29 años (014)",1382,,,,,58,1015,309
"De 30 a 34 años (015)",990,,,,,119,687,184
"De 35 a 39 años (016)",666,,,,3,134,420,109
"De 40 a 44 años (017)",400,,,,10,119,193,78
"De 45 a 49 años (018)",231,,,,17,92,75,47
"De 50 y más años (019)",308,3,9,29,71,88,9,99
"Separado(a) (020)",1374,3,13,31,110,271,570,376
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",86,,,,,,61,25
"De 20 a 24 años (023)",185,,,,,1,122,62
"De 25 a 29 años (024)",218,,,,,13,129,76
"De 30 a 34 años (025)",190,,,,1,34,104,51
"De 35 a 39 años (026)",169,,,,5,52,75,37
"De 40 a 44 años (027)",134,,,,10,53,50,21
"De 45 a 49 años (028)",127,,,,20,62,25,20
"De 50 y más años (029)",263,3,13,31,74,56,3,83
"Casado(a) (030)",10241,19,106,402,1150,2323,4354,1887
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",71,,,,,,44,27
"De 20 a 24 años (033)",444,,,,,1,315,128
"De 25 a 29 años (034)",965,,,,,31,764,170
"De 30 a 34 años (035)",1375,,,,2,153,1026,194
"De 35 a 39 años (036)",1408,,,,2,321,917,168
"De 40 a 44 años (037)",1468,,,,34,437,791,206
"De 45 a 49 años (038)",1228,,,2,113,523,409,181
"De 50 y más años (039)",3279,19,106,400,999,857,88,810
"Viudo(a) (040)",3054,82,231,471,596,428,219,1027
"De 15 a 19 años (042)",6,,,,,,1,5
"De 20 a 24 años (043)",17,,,,,,13,4
"De 25 a 29 años (044)",30,,,,,1,24,5
"De 30 a 34 años (045)",63,,,,,11,34,18
"De 35 a 39 años (046)",104,,,,,26,57,21
"De 40 a 44 años (047)",165,,,,14,58,50,43
"De 45 a 49 años (048)",209,,,1,37,97,35,39
