"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUALLAGA (000)",9304,8154,648,213,289
"Hombres (001)",7257,6427,537,123,170
"Mujeres (002)",2047,1727,111,90,119
"De 06 a 14 años (003)",336,305,31,,
"Hombres (004)",262,233,29,,
"Mujeres (005)",74,72,2,,
"De 15 a 29 años (006)",3097,2775,224,42,56
"Hombres (007)",2448,2196,192,28,32
"Mujeres (008)",649,579,32,14,24
"De 30 a 44 años (009)",3166,2705,213,97,151
"Hombres (010)",2417,2120,164,49,84
"Mujeres (011)",749,585,49,48,67
"De 45 a 64 años (012)",2139,1836,154,73,76
"Hombres (013)",1670,1445,131,45,49
"Mujeres (014)",469,391,23,28,27
"De 65 y más años (015)",566,533,26,1,6
"Hombres (016)",460,433,21,1,5
"Mujeres (017)",106,100,5,,1
,,,,,
"URBANA (018)",4969,4118,373,200,278
"Hombres (019)",3633,3065,291,112,165
"Mujeres (020)",1336,1053,82,88,113
"De 06 a 14 años (021)",100,94,6,,
"Hombres (022)",78,72,6,,
"Mujeres (023)",22,22,,,
"De 15 a 29 años (024)",1261,1077,99,35,50
"Hombres (025)",946,816,79,22,29
"Mujeres (026)",315,261,20,13,21
"De 30 a 44 años (027)",1864,1473,151,93,147
"Hombres (028)",1316,1076,111,46,83
"Mujeres (029)",548,397,40,47,64
"De 45 a 64 años (030)",1360,1113,101,71,75
"Hombres (031)",997,823,83,43,48
"Mujeres (032)",363,290,18,28,27
"De 65 y más años (033)",384,361,16,1,6
"Hombres (034)",296,278,12,1,5
"Mujeres (035)",88,83,4,,1
,,,,,
"RURAL (036)",4335,4036,275,13,11
"Hombres (037)",3624,3362,246,11,5
"Mujeres (038)",711,674,29,2,6
"De 06 a 14 años (039)",236,211,25,,
"Hombres (040)",184,161,23,,
"Mujeres (041)",52,50,2,,
"De 15 a 29 años (042)",1836,1698,125,7,6
"Hombres (043)",1502,1380,113,6,3
"Mujeres (044)",334,318,12,1,3
"De 30 a 44 años (045)",1302,1232,62,4,4
"Hombres (046)",1101,1044,53,3,1
"Mujeres (047)",201,188,9,1,3
"De 45 a 64 años (048)",779,723,53,2,1
"Hombres (049)",673,622,48,2,1
"Mujeres (050)",106,101,5,,
"De 65 y más años (051)",182,172,10,,
"Hombres (052)",164,155,9,,
"Mujeres (053)",18,17,1,,
