"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PISCO (000)",120061,104909,15152
"Casa independiente (001)",96650,83551,13099
"Departamento en edificio (002)",661,661,
"Vivienda en quinta (003)",751,751,
"Vivienda en casa de vecindad (004)",556,556,
"Choza o cabaña (005)",1850,,1850
"Vivienda improvisada (006)",18935,18935,
"Local no dest.para hab. humana (007)",133,124,9
"Otro tipo (008)",525,331,194
