"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia BONGARA (000)",7074,54,143,405,738,1624,2592,1518
"De 12 a 14 años (001)",10,,,,,,2,8
"De 15 a 19 años (002)",273,,,,,,164,109
"De 20 a 24 años (003)",777,,,,,7,518,252
"De 25 a 29 años (004)",854,,,,,67,587,200
"De 30 a 34 años (005)",871,,,,,163,555,153
"De 35 a 39 años (006)",927,,,,19,337,420,151
"De 40 a 44 años (007)",756,,,,43,366,229,118
"De 45 a 49 años (008)",605,,,,120,303,97,85
"De 50 y más años (009)",2001,54,143,405,556,381,20,442
"Conviviente (010)",2437,5,7,19,105,475,1300,526
"De 12 a 14 años (011)",7,,,,,,2,5
"De 15 a 19 años (012)",172,,,,,,100,72
"De 20 a 24 años (013)",440,,,,,4,301,135
"De 25 a 29 años (014)",477,,,,,37,341,99
"De 30 a 34 años (015)",385,,,,,59,267,59
"De 35 a 39 años (016)",360,,,,8,118,174,60
"De 40 a 44 años (017)",228,,,,7,114,79,28
"De 45 a 49 años (018)",140,,,,19,72,31,18
"De 50 y más años (019)",228,5,7,19,71,71,5,50
"Separado(a) (020)",263,1,2,18,37,69,73,63
"De 15 a 19 años (022)",7,,,,,,6,1
"De 20 a 24 años (023)",23,,,,,1,19,3
"De 25 a 29 años (024)",24,,,,,3,17,4
"De 30 a 34 años (025)",30,,,,,13,10,7
"De 35 a 39 años (026)",33,,,,1,12,9,11
"De 40 a 44 años (027)",32,,,,3,12,8,9
"De 45 a 49 años (028)",35,,,,9,14,4,8
"De 50 y más años (029)",79,1,2,18,24,14,,20
"Casado(a) (030)",2957,11,47,228,420,877,929,445
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",38,,,,,,18,20
"De 20 a 24 años (033)",133,,,,,2,101,30
"De 25 a 29 años (034)",216,,,,,12,165,39
"De 30 a 34 años (035)",357,,,,,71,244,42
"De 35 a 39 años (036)",430,,,,5,167,209,49
"De 40 a 44 años (037)",397,,,,25,196,125,51
"De 45 a 49 años (038)",359,,,,71,191,55,42
"De 50 y más años (039)",1025,11,47,228,319,238,12,170
"Viudo(a) (040)",654,32,79,118,132,86,42,165
"De 15 a 19 años (042)",1,,,,,,1,
"De 20 a 24 años (043)",6,,,,,,5,1
"De 25 a 29 años (044)",8,,,,,3,2,3
"De 30 a 34 años (045)",13,,,,,2,8,3
"De 35 a 39 años (046)",19,,,,,8,7,4
"De 40 a 44 años (047)",33,,,,4,14,11,4
"De 45 a 49 años (048)",31,,,,9,12,6,4
"De 50 y más años (049)",543,32,79,118,119,47,2,146
"Divorciado(a) (050)",29,,1,2,9,11,,6
