"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,10312,1060,445,496
"Agric., ganadería, caza y silvicultura (001)",7462,7139,295,16,12
"Pesca (002)",3,3,,,
"Explotación de minas y canteras (003)",169,45,25,37,62
"Industrias manufactureras (004)",201,177,14,3,7
"Suministro de electricidad, gas y agua (005)",11,2,5,4,
"Construcción (006)",305,185,82,34,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1115,1068,37,7,3
"Venta, mant.y rep. veh.autom y motoc. (008)",70,55,10,2,3
"Comercio al por mayor (009)",22,20,1,1,
"Comercio al por menor (010)",1023,993,26,4,
"Hoteles y restaurantes (011)",258,239,16,2,1
"Trans., almac. y comunicaciones (012)",279,237,28,7,7
"Intermediación financiera (013)",3,2,1,,
"Activid.inmobil., empres. y alquileres (014)",180,103,34,28,15
"Admin.pub. y defensa; p. segur soc.afil (015)",220,,,,220
"Enseñanza (016)",943,211,442,252,38
"Servicios sociales y de salud (017)",142,36,5,4,97
"Otras activ. serv.comun.soc y personales (018)",99,72,15,7,5
"Hogares privados con servicio doméstico (019)",170,170,,,
"Actividad economica no especificada (021)",753,623,61,44,25
"Hombres (022)",9096,7636,791,318,351
"Agric., ganadería, caza y silvicultura (023)",6167,5895,245,15,12
"Pesca (024)",3,3,,,
"Explotación de minas y canteras (025)",167,43,25,37,62
"Industrias manufactureras (026)",148,136,6,2,4
"Suministro de electricidad, gas y agua (027)",11,2,5,4,
"Construcción (028)",299,181,82,32,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",577,546,24,4,3
"Venta, mant.y rep. veh.autom y motoc. (030)",66,51,10,2,3
"Comercio al por mayor (031)",14,13,1,,
"Comercio al por menor (032)",497,482,13,2,
"Hoteles y restaurantes (033)",79,71,5,2,1
"Trans., almac. y comunicaciones (034)",269,229,26,7,7
"Intermediación financiera (035)",1,,1,,
"Activid.inmobil., empres. y alquileres (036)",136,75,29,20,12
"Admin.pub. y defensa; p. segur soc.afil (037)",158,,,,158
"Enseñanza (038)",565,100,290,151,24
"Servicios sociales y de salud (039)",62,17,3,2,40
"Otras activ. serv.comun.soc y personales (040)",59,39,10,7,3
"Hogares privados con servicio doméstico (041)",18,18,,,
"Actividad economica no especificada (043)",377,281,40,35,21
