"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHURCAMPA (000)",13586,1324,2608,6468,75,2572,65,474
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,39,,,,,,
"Profes., científicos e intelectuales (002)",741,696,,42,,3,,
"Técnicos de nivel medio y trab. asimilados (003)",191,155,,28,5,3,,
"Jefes y empleados de oficina (004)",173,173,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",578,83,15,415,4,61,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5493,,,5414,58,21,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",558,,411,134,4,9,,
"Obreros construc.,conf.,papel, fab., instr. (008)",434,24,286,114,2,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4617,69,1864,201,2,2416,65,
"Otra (010)",61,61,,,,,,
"Ocupaciñn no especificada (011)",227,24,32,120,,51,,
"Desocupado (012)",474,,,,,,,474
"Hombres (013)",9566,817,2216,5055,58,1036,6,378
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",31,31,,,,,,
"Profes., científicos e intelectuales (015)",413,388,,24,,1,,
"Técnicos de nivel medio y trab. asimilados (016)",135,111,,23,1,,,
"Jefes y empleados de oficina (017)",106,106,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",229,57,9,146,2,15,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",4645,,,4575,50,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",493,,389,93,3,8,,
"Obreros construc.,conf.,papel, fab., instr. (021)",425,24,282,110,2,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",2573,34,1519,41,,973,6,
"Otra (023)",52,52,,,,,,
"Ocupaciñn no especificada (024)",86,14,17,43,,12,,
"Desocupado (025)",378,,,,,,,378
"Mujeres (026)",4020,507,392,1413,17,1536,59,96
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",8,8,,,,,,
"Profes., científicos e intelectuales (028)",328,308,,18,,2,,
"Técnicos de nivel medio y trab. asimilados (029)",56,44,,5,4,3,,
"Jefes y empleados de oficina (030)",67,67,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",349,26,6,269,2,46,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",848,,,839,8,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",65,,22,41,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (034)",9,,4,4,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",2044,35,345,160,2,1443,59,
"Otra (036)",9,9,,,,,,
"Ocupaciñn no especificada (037)",141,10,15,77,,39,,
"Desocupado (038)",96,,,,,,,96
,,,,,,,,
"URBANA (039)",3861,1042,976,1301,18,300,42,182
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",28,28,,,,,,
"Profes., científicos e intelectuales (041)",529,502,,26,,1,,
"Técnicos de nivel medio y trab. asimilados (042)",165,136,,22,5,2,,
"Jefes y empleados de oficina (043)",151,151,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",430,78,10,293,1,48,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",640,,,625,6,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",450,,357,84,4,5,,
"Obreros construc.,conf.,papel, fab., instr. (047)",327,21,226,79,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",831,51,371,142,2,223,42,
"Otra (049)",61,61,,,,,,
"Ocupaciñn no especificada (050)",67,14,12,30,,11,,
"Desocupado (051)",182,,,,,,,182
"Hombres (052)",2637,643,882,816,8,146,3,139
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",24,24,,,,,,
"Profes., científicos e intelectuales (054)",285,270,,15,,,,
"Técnicos de nivel medio y trab. asimilados (055)",121,102,,18,1,,,
"Jefes y empleados de oficina (056)",89,89,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",175,54,9,101,,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",503,,,490,4,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",416,,340,68,3,5,,
"Obreros construc.,conf.,papel, fab., instr. (060)",322,21,222,78,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",473,24,303,26,,117,3,
"Otra (062)",52,52,,,,,,
"Ocupaciñn no especificada (063)",38,7,8,20,,3,,
"Desocupado (064)",139,,,,,,,139
"Mujeres (065)",1224,399,94,485,10,154,39,43
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,4,,,,,,
"Profes., científicos e intelectuales (067)",244,232,,11,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",44,34,,4,4,2,,
"Jefes y empleados de oficina (069)",62,62,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",255,24,1,192,1,37,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",137,,,135,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",34,,17,16,1,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",5,,4,1,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",358,27,68,116,2,106,39,
"Otra (075)",9,9,,,,,,
"Ocupaciñn no especificada (076)",29,7,4,10,,8,,
"Desocupado (077)",43,,,,,,,43
,,,,,,,,
"RURAL (078)",9725,282,1632,5167,57,2272,23,292
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",11,11,,,,,,
"Profes., científicos e intelectuales (080)",212,194,,16,,2,,
"Técnicos de nivel medio y trab. asimilados (081)",26,19,,6,,1,,
"Jefes y empleados de oficina (082)",22,22,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",148,5,5,122,3,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",4853,,,4789,52,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",108,,54,50,,4,,
"Obreros construc.,conf.,papel, fab., instr. (086)",107,3,60,35,2,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3786,18,1493,59,,2193,23,
"Ocupaciñn no especificada (089)",160,10,20,90,,40,,
"Desocupado (090)",292,,,,,,,292
"Hombres (091)",6929,174,1334,4239,50,890,3,239
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",7,7,,,,,,
"Profes., científicos e intelectuales (093)",128,118,,9,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",14,9,,5,,,,
"Jefes y empleados de oficina (095)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",54,3,,45,2,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",4142,,,4085,46,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",77,,49,25,,3,,
