"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AREQUIPA (000)",340061,123500,64436,121436,8097,10672,11920
"Conviviente (001)",76462,18149,20751,31756,1479,2468,1859
"Separado(a) (002)",15362,4425,2627,6849,325,249,887
"Casado(a) (003)",121874,48880,18413,45464,4072,3615,1430
"Viudo(a) (004)",6603,1262,1059,3587,225,210,260
"Divorciado(a) (005)",3522,1565,337,1355,144,46,75
"Soltero(a) (006)",116238,49219,21249,32425,1852,4084,7409
"Hombres (008)",195966,63705,49281,73051,5427,3869,633
"Conviviente (009)",48883,10632,15931,20599,1029,610,82
"Separado(a) (010)",4959,1317,1197,2229,142,61,13
"Casado(a) (011)",75593,28939,14545,28328,2906,799,76
"Viudo(a) (012)",2221,379,565,1104,99,63,11
"Divorciado(a) (013)",1500,558,246,595,74,20,7
"Soltero(a) (014)",62810,21880,16797,20196,1177,2316,444
"Mujeres (016)",144095,59795,15155,48385,2670,6803,11287
"Conviviente (017)",27579,7517,4820,11157,450,1858,1777
"Separado(a) (018)",10403,3108,1430,4620,183,188,874
"Casado(a) (019)",46281,19941,3868,17136,1166,2816,1354
"Viudo(a) (020)",4382,883,494,2483,126,147,249
"Divorciado(a) (021)",2022,1007,91,760,70,26,68
"Soltero(a) (022)",53428,27339,4452,12229,675,1768,6965
,,,,,,,
"URBANA (024)",330724,122711,60636,118392,7572,9583,11830
"Conviviente (025)",73383,18007,19180,30843,1361,2155,1837
"Separado(a) (026)",15025,4396,2491,6718,305,232,883
"Casado(a) (027)",118768,48591,17372,44300,3804,3281,1420
"Viudo(a) (028)",6307,1252,960,3449,190,196,260
"Divorciado(a) (029)",3483,1555,329,1339,141,45,74
"Soltero(a) (030)",113758,48910,20304,31743,1771,3674,7356
"Hombres (032)",189594,63214,46503,70837,4993,3423,624
"Conviviente (033)",46837,10531,14825,19933,932,538,78
"Separado(a) (034)",4806,1306,1129,2172,131,55,13
"Casado(a) (035)",73421,28732,13798,27431,2660,725,75
"Viudo(a) (036)",2055,373,508,1027,81,55,11
"Divorciado(a) (037)",1479,553,239,587,73,20,7
"Soltero(a) (038)",60996,21719,16004,19687,1116,2030,440
"Mujeres (040)",141130,59497,14133,47555,2579,6160,11206
"Conviviente (041)",26546,7476,4355,10910,429,1617,1759
"Separado(a) (042)",10219,3090,1362,4546,174,177,870
"Casado(a) (043)",45347,19859,3574,16869,1144,2556,1345
"Viudo(a) (044)",4252,879,452,2422,109,141,249
"Divorciado(a) (045)",2004,1002,90,752,68,25,67
"Soltero(a) (046)",52762,27191,4300,12056,655,1644,6916
,,,,,,,
"RURAL (048)",9337,789,3800,3044,525,1089,90
"Conviviente (049)",3079,142,1571,913,118,313,22
"Separado(a) (050)",337,29,136,131,20,17,4
"Casado(a) (051)",3106,289,1041,1164,268,334,10
"Viudo(a) (052)",296,10,99,138,35,14,
"Divorciado(a) (053)",39,10,8,16,3,1,1
"Soltero(a) (054)",2480,309,945,682,81,410,53
"Hombres (056)",6372,491,2778,2214,434,446,9
"Conviviente (057)",2046,101,1106,666,97,72,4
"Separado(a) (058)",153,11,68,57,11,6,
"Casado(a) (059)",2172,207,747,897,246,74,1
"Viudo(a) (060)",166,6,57,77,18,8,
"Divorciado(a) (061)",21,5,7,8,1,,
"Soltero(a) (062)",1814,161,793,509,61,286,4
"Mujeres (064)",2965,298,1022,830,91,643,81
"Conviviente (065)",1033,41,465,247,21,241,18
"Separado(a) (066)",184,18,68,74,9,11,4
"Casado(a) (067)",934,82,294,267,22,260,9
"Viudo(a) (068)",130,4,42,61,17,6,
"Divorciado(a) (069)",18,5,1,8,2,1,1
"Soltero(a) (070)",666,148,152,173,20,124,49
