"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAmás (000)",19902,19112,87,3680,3848,3007,4181,2534,1276,499,790,71322
"De 12 a 14 años (001)",70,37,2,31,4,,,,,,33,39
"De 15 a 19 años (002)",1157,1005,9,812,156,22,6,,,,152,1214
"De 20 a 24 años (003)",2568,2339,8,1212,830,225,59,5,,,229,3831
"De 25 a 29 años (004)",2620,2494,15,660,945,544,295,34,1,,126,5641
"De 30 a 34 años (005)",2475,2406,4,349,727,618,585,108,13,2,69,6991
"De 35 a 39 años (006)",2330,2291,8,178,457,530,773,276,62,7,39,8442
"De 40 a 44 años (007)",1919,1886,2,112,257,364,685,338,109,19,33,8029
"De 45 a 49 años (008)",1554,1533,7,81,177,240,487,352,145,44,21,7292
"De 50 y más años (009)",5209,5121,32,245,295,464,1291,1421,946,427,88,29843
"Sin nivel (010)",3783,3647,23,261,340,393,931,899,544,256,136,19495
"De 12 a 14 años (011)",5,2,,2,,,,,,,3,2
"De 15 a 19 años (012)",52,47,,29,13,2,3,,,,5,73
"De 20 a 24 años (013)",134,120,1,34,47,29,9,,,,14,254
"De 25 a 29 años (014)",189,177,1,27,64,45,32,8,,,12,473
"De 30 a 34 años (015)",235,220,1,14,32,57,93,21,2,,15,812
"De 35 a 39 años (016)",298,289,1,20,39,47,108,52,17,5,9,1259
"De 40 a 44 años (017)",362,351,,17,26,41,136,93,31,7,11,1727
"De 45 a 49 años (018)",394,382,1,20,25,31,108,121,50,26,12,2124
"De 50 y más años (019)",2114,2059,18,98,94,141,442,604,444,218,55,12771
"Educacion Inicial (020)",34,32,,6,9,8,9,,,,2,88
"De 12 a 14 años (021)",1,,,,,,,,,,1,
