"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia UCAYALI (000)",18885,60788,53996,,1777,88.8,2.9
"De 12 a 14 años (001)",2609,32,30,,8,93.8,25
"De 15 a 19 años (002)",3310,1359,1313,314,96.6,23.1,
"De 20 a 24 años (003)",2354,3716,3549,414,95.5,11.1,
"De 25 a 29 años (004)",2118,5544,5304,349,95.7,6.3,
"De 30 a 34 años (005)",1790,6911,6493,353,94,5.1,
"De 35 a 39 años (006)",1601,8070,7468,245,92.5,3,
"De 40 a 44 años (007)",1336,7690,6925,80,90.1,1,
"De 45 a 49 años (008)",1043,6750,5870,14,87,0.2,
"De 50 y más años (009)",2724,20716,17044,,82.3,,
"Conviviente (010)",9123,37374,33673,1386,90.1,3.7,
"De 12 a 14 años (011)",78,18,17,5,94.4,27.8,
"De 15 a 19 años (012)",1020,1047,1009,238,96.4,22.7,
"De 20 a 24 años (013)",1545,3127,2976,349,95.2,11.2,
"De 25 a 29 años (014)",1529,4458,4265,287,95.7,6.4,
"De 30 a 34 años (015)",1274,5239,4895,259,93.4,4.9,
"De 35 a 39 años (016)",1092,5675,5253,178,92.6,3.1,
"De 40 a 44 años (017)",845,5142,4643,59,90.3,1.1,
"De 45 a 49 años (018)",610,4015,3476,11,86.6,0.3,
"De 50 y más años (019)",1130,8653,7139,,82.5,,
"Separado(a) (020)",498,1828,1635,56,89.4,3.1,
"De 12 a 14 años (021)",2,1,1,1,100,100,
"De 15 a 19 años (022)",56,65,64,16,98.5,24.6,
"De 20 a 24 años (023)",70,120,115,15,95.8,12.5,
"De 25 a 29 años (024)",68,152,148,10,97.4,6.6,
"De 30 a 34 años (025)",59,164,158,7,96.3,4.3,
"De 35 a 39 años (026)",64,252,229,5,90.9,2,
"De 40 a 44 años (027)",37,186,168,1,90.3,0.5,
"De 45 a 49 años (028)",41,238,202,1,84.9,0.4,
"De 50 y más años (029)",101,650,550,,84.6,,
"Casado(a) (030)",2776,16289,14217,229,87.3,1.4,
"De 12 a 14 años (031)",1,1,,,,,
"De 15 a 19 años (032)",52,50,48,11,96,22,
"De 20 a 24 años (033)",122,220,215,26,97.7,11.8,
"De 25 a 29 años (034)",228,668,636,39,95.2,5.8,
"De 30 a 34 años (035)",321,1302,1243,73,95.5,5.6,
"De 35 a 39 años (036)",366,1942,1797,59,92.5,3,
