"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHOTA (000)",1301,661,640
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",149,146,3
"Casa pensión (003)",11,4,7
"Hospital, clinica (004)",109,105,4
"Cárcel, centro de readaptación social (005)",79,79,
"Aldea infantil, orfelinato, etc (007)",47,22,25
"Otro (008)",801,201,600
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",105,104,1
