"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TOCACHE (000)",17513,68768,8446,34110,9067,34658
"Casa independiente (001)",12919,52925,7230,30268,5689,22657
"Departamento en edificio (002)",61,158,61,158,,
"Vivienda en quinta (003)",801,2498,801,2498,,
"Vivienda en casa de vecindad (004)",285,948,285,948,,
"Choza o cabaña (005)",3360,11960,,,3360,11960
"Vivienda improvisada (006)",43,156,43,156,,
"Local no dest.para hab. humana (007)",34,98,22,68,12,30
"Otro tipo (008)",10,25,4,14,6,11
