"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia UTCUBAMBA (000)",25611,107795,11558,45821,14053,61974
"Casa independiente (001)",24388,103724,10744,43424,13644,60300
"Departamento en edificio (002)",73,187,73,187,,
"Vivienda en quinta (003)",566,1643,566,1643,,
"Vivienda en casa de vecindad (004)",145,474,145,474,,
"Choza o cabaña (005)",404,1669,,,404,1669
"Vivienda improvisada (006)",11,46,11,46,,
"Local no dest.para hab. humana (007)",22,50,17,45,5,5
"Otro tipo (008)",2,2,2,2,,
