"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHANCHAMAYO (000)",64233,1471,23254,22282,14126,3100
"Agric., ganadería, caza y silvicultura (001)",32489,939,11799,10017,7468,2266
"Pesca (002)",29,,19,8,1,1
"Explotación de minas y canteras (003)",914,,354,412,144,4
"Industrias manufactureras (004)",2252,85,894,729,472,72
"Suministro de electricidad, gas y agua (005)",115,1,35,47,31,1
"Construcción (006)",1985,12,642,756,526,49
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",8536,173,2751,3310,1972,330
"Venta, mant.y rep. veh.autom.y motoc. (008)",1121,15,469,376,228,33
"Comercio al por mayor (009)",350,4,133,132,71,10
"Comercio al por menor (010)",7065,154,2149,2802,1673,287
"Hoteles y restaurantes (011)",3057,102,1152,961,741,101
"Trans., almac. y comunicaciones (012)",4272,36,1947,1594,654,41
"Intermediación financiera (013)",129,,70,46,12,1
"Activid.inmobil., empres. y alquileres (014)",1506,11,605,578,287,25
"Admin.pub. y defensa; p. segur.soc.afil (015)",1289,,423,553,298,15
"Enseñanza (016)",2410,2,458,1419,517,14
"Servicios sociales y de salud (017)",719,,214,336,156,13
"Otras activ. serv.comun.soc y personales (018)",1083,26,396,388,220,53
"Hogares privados con servicio doméstico (019)",1230,54,662,322,175,17
"Actividad economica no especificada (021)",2218,30,833,806,452,97
"Hombres (022)",46748,1010,17039,15553,10566,2580
"Agric., ganadería, caza y silvicultura (023)",28349,720,10459,8642,6482,2046
"Pesca (024)",26,,17,8,,1
"Explotación de minas y canteras (025)",896,,347,402,143,4
"Industrias manufactureras (026)",1757,59,703,550,385,60
"Suministro de electricidad, gas y agua (027)",104,1,31,43,28,1
"Construcción (028)",1901,10,611,718,514,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4240,100,1385,1515,1036,204
"Venta, mant.y rep. veh.autom.y motoc. (030)",1003,13,412,333,213,32
"Comercio al por mayor (031)",217,2,83,75,50,7
"Comercio al por menor (032)",3020,85,890,1107,773,165
"Hoteles y restaurantes (033)",773,31,309,190,201,42
"Trans., almac. y comunicaciones (034)",3981,31,1771,1507,633,39
"Intermediación financiera (035)",71,,34,28,8,1
"Activid.inmobil., empres. y alquileres (036)",1043,8,358,428,224,25
"Admin.pub. y defensa; p. segur.soc.afil (037)",900,,267,385,235,13
"Enseñanza (038)",1003,2,137,562,289,13
