"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHURCAMPA (000)",41747,2409,6479,6555,4010,5969,5099,8303,2923
"Sabe leer y escribir (001)",30902,,4695,6494,3929,5545,4214,5084,941
"No sabe leer y escribir (002)",10845,2409,1784,61,81,424,885,3219,1982
"Hombres (004)",20557,1144,3319,3339,1994,2944,2513,4031,1273
"Sabe leer y escribir (005)",16885,,2408,3313,1976,2868,2348,3277,695
"No sabe leer y escribir (006)",3672,1144,911,26,18,76,165,754,578
"Mujeres (008)",21190,1265,3160,3216,2016,3025,2586,4272,1650
"Sabe leer y escribir (009)",14017,,2287,3181,1953,2677,1866,1807,246
"No sabe leer y escribir (010)",7173,1265,873,35,63,348,720,2465,1404
,,,,,,,,,
"URBANA (012)",9638,440,1119,1305,925,1520,1501,2198,630
"Sabe leer y escribir (013)",8188,,876,1299,915,1489,1416,1854,339
"No sabe leer y escribir (014)",1450,440,243,6,10,31,85,344,291
"Hombres (016)",4976,206,571,677,462,803,789,1194,274
"Sabe leer y escribir (017)",4494,,441,675,459,797,776,1131,215
"No sabe leer y escribir (018)",482,206,130,2,3,6,13,63,59
"Mujeres (020)",4662,234,548,628,463,717,712,1004,356
"Sabe leer y escribir (021)",3694,,435,624,456,692,640,723,124
"No sabe leer y escribir (022)",968,234,113,4,7,25,72,281,232
,,,,,,,,,
"RURAL (024)",32109,1969,5360,5250,3085,4449,3598,6105,2293
"Sabe leer y escribir (025)",22714,,3819,5195,3014,4056,2798,3230,602
"No sabe leer y escribir (026)",9395,1969,1541,55,71,393,800,2875,1691
"Hombres (028)",15581,938,2748,2662,1532,2141,1724,2837,999
"Sabe leer y escribir (029)",12391,,1967,2638,1517,2071,1572,2146,480
"No sabe leer y escribir (030)",3190,938,781,24,15,70,152,691,519
"Mujeres (032)",16528,1031,2612,2588,1553,2308,1874,3268,1294
"Sabe leer y escribir (033)",10323,,1852,2557,1497,1985,1226,1084,122
"No sabe leer y escribir (034)",6205,1031,760,31,56,323,648,2184,1172
