"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CARAVELI (000)",11831,29304,27330,,535,93.3,1.8
"De 12 a 14 años (001)",1049,6,5,,,83.3,
"De 15 a 19 años (002)",1412,238,230,62,96.6,26.1,
"De 20 a 24 años (003)",1529,1298,1277,162,98.4,12.5,
"De 25 a 29 años (004)",1398,2114,2073,123,98.1,5.8,
"De 30 a 34 años (005)",1311,2784,2730,102,98.1,3.7,
"De 35 a 39 años (006)",1159,3355,3237,58,96.5,1.7,
"De 40 a 44 años (007)",915,3296,3150,26,95.6,0.8,
"De 45 a 49 años (008)",715,3054,2894,2,94.8,0.1,
"De 50 y más años (009)",2343,13159,11734,,89.2,,
"Sin nivel (010)",1267,6931,6109,28,88.1,0.4,
"De 12 a 14 años (011)",11,,,,,,
"De 15 a 19 años (012)",18,4,4,1,100,25,
"De 20 a 24 años (013)",21,23,22,5,95.7,21.7,
"De 25 a 29 años (014)",42,82,79,3,96.3,3.7,
"De 30 a 34 años (015)",98,252,246,11,97.6,4.4,
"De 35 a 39 años (016)",115,401,394,2,98.3,0.5,
"De 40 a 44 años (017)",101,477,439,6,92,1.3,
"De 45 a 49 años (018)",100,524,485,,92.6,,
"De 50 y más años (019)",761,5168,4440,,85.9,,
"Educacion Inicial (020)",19,29,29,4,100,13.8,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",2,4,4,1,100,25,
"De 20 a 24 años (023)",1,2,2,1,100,50,
"De 25 a 29 años (024)",3,5,5,1,100,20,
"De 30 a 34 años (025)",3,1,1,,100,,
"De 35 a 39 años (026)",5,17,17,1,100,5.9,
"Primaria (030)",2885,9977,9255,110,92.8,1.1,
"De 12 a 14 años (031)",460,2,2,,100,,
"De 15 a 19 años (032)",145,39,36,10,92.3,25.6,
"De 20 a 24 años (033)",130,189,185,16,97.9,8.5,
"De 25 a 29 años (034)",240,493,483,26,98,5.3,
"De 30 a 34 años (035)",281,790,772,31,97.7,3.9,
"De 35 a 39 años (036)",284,1068,1003,17,93.9,1.6,
"De 40 a 44 años (037)",253,1151,1095,9,95.1,0.8,
"De 45 a 49 años (038)",245,1274,1205,1,94.6,0.1,
"De 50 y más años (039)",847,4971,4474,,90,,
"Secundaria (040)",4931,7479,7220,274,96.5,3.7,
