"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PASCO (000)",56204,126726,115030,,2423,90.8,1.9
"De 12 a 14 años (001)",5390,35,35,,1,100,2.9
"De 15 a 19 años (002)",8251,795,782,227,98.4,28.6,
"De 20 a 24 años (003)",7725,4636,4543,634,98,13.7,
"De 25 a 29 años (004)",6801,8902,8630,620,96.9,7,
"De 30 a 34 años (005)",5533,11533,11110,447,96.3,3.9,
"De 35 a 39 años (006)",5316,15486,14807,334,95.6,2.2,
"De 40 a 44 años (007)",4336,16267,15192,143,93.4,0.9,
"De 45 a 49 años (008)",3414,15419,14175,17,91.9,0.1,
"De 50 y más años (009)",9438,53653,45756,,85.3,,
"Sin nivel (010)",4753,26940,22495,70,83.5,0.3,
"De 12 a 14 años (011)",38,1,1,,100,,
"De 15 a 19 años (012)",62,23,23,5,100,21.7,
"De 20 a 24 años (013)",94,129,125,14,96.9,10.9,
"De 25 a 29 años (014)",121,267,258,15,96.6,5.6,
"De 30 a 34 años (015)",151,443,418,10,94.4,2.3,
"De 35 a 39 años (016)",207,790,734,13,92.9,1.6,
"De 40 a 44 años (017)",274,1344,1217,12,90.6,0.9,
"De 45 a 49 años (018)",336,1911,1710,1,89.5,0.1,
"De 50 y más años (019)",3470,22032,18009,,81.7,,
"Educacion Inicial (020)",59,84,82,,97.6,,
"De 12 a 14 años (021)",6,2,2,,100,,
"De 15 a 19 años (022)",8,1,1,,100,,
"De 20 a 24 años (023)",12,13,12,,92.3,,
"De 25 a 29 años (024)",18,23,22,,95.7,,
"De 30 a 34 años (025)",11,30,30,,100,,
"De 35 a 39 años (026)",4,15,15,,100,,
"Primaria (030)",13499,49280,44423,504,90.1,1,
"De 12 a 14 años (031)",1713,9,9,,100,,
"De 15 a 19 años (032)",566,142,141,35,99.3,24.6,
"De 20 a 24 años (033)",746,872,854,87,97.9,10,
"De 25 a 29 años (034)",994,2020,1948,105,96.4,5.2,
"De 30 a 34 años (035)",1134,3258,3097,111,95.1,3.4,
"De 35 a 39 años (036)",1533,5634,5333,112,94.7,2,
"De 40 a 44 años (037)",1462,6651,6176,46,92.9,0.7,
"De 45 a 49 años (038)",1348,7112,6482,8,91.1,0.1,
"De 50 y más años (039)",4003,23582,20383,,86.4,,
