"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia GRAN CHIMU (000)",29400,6480,22920
"Casa independiente (001)",29027,6268,22759
"Departamento en edificio (002)",66,66,
"Vivienda en quinta (003)",44,44,
"Vivienda en casa de vecindad (004)",97,97,
"Choza o cabaña (005)",160,,160
"Vivienda improvisada (006)",3,3,
"Local no dest.para hab. humana (007)",3,2,1
